location,colorectal-cancer-screening,health-care-satisfaction,hiv-viral-suppression,cervical-cancer-screening,preventable-hospitalizations,adult-flu-vaccine,breast-cancer-screening,children-aged-19-35-months-with-up-to-date-immunizations,hpv-vaccination,received-needed-care,early-intervention-services,engagement-in-hiv-care,prenatal-care-in-first-trimester,no-health-insurance,annual-dental-cleaning,dental-care-emergencies,early-and-adequate-prenatal-care,school-based-health-services---dental,school-based-health-services---vision,school-based-health-services---sti-screening,avoidable-ed-visits,primary-care-provider,routine-checkup
albany-park,,,,,,,,,,,,,569.6,,,,573.0,,,,,,
archer-heights,,,,,,,,,,,,,162.4,,,,145.8,,,,,,
armour-square,,,,,,,,,,,,,120.2,,,,93.0,,,,,,
ashburn,,,,,,,,,,,,,357.0,,,,328.6,,,,,,
auburn-gresham,,,,,,,,,,,,,388.6,,,,331.2,,,,,,
austin,,,,,,,,,,,,,970.2,,,,898.6,,,,,,
avalon-park,,,,,,,,,,,,,70.6,,,,58.8,,,,,,
avondale,,,,,,,,,,,,,457.0,,,,447.0,,,,,,
belmont-cragin,,,,,,,,,,,,,912.8,,,,885.4,,,,,,
beverly,,,,,,,,,,,,,176.0,,,,167.0,,,,,,
bridgeport,,,,,,,,,,,,,323.6,,,,266.2,,,,,,
brighton-park,,,,,,,,,,,,,578.0,,,,489.8,,,,,,
burnside,,,,,,,,,,,,,18.6,,,,16.4,,,,,,
calumet-heights,,,,,,,,,,,,,77.8,,,,69.4,,,,,,
chatham,,,,,,,,,,,,,257.2,,,,220.4,,,,,,
chicago-lawn,,,,,,,,,,,,,654.6,,,,579.4,,,,,,
clearing,,,,,,,,,,,,,224.0,,,,211.8,,,,,,
douglas,,,,,,,,,,,,,172.2,,,,130.8,,,,,,
dunning,,,,,,,,,,,,,361.2,,,,363.4,,,,,,
east-garfield-park,,,,,,,,,,,,,217.4,,,,198.8,,,,,,
east-side,,,,,,,,,,,,,252.6,,,,210.6,,,,,,
edgewater,,,,,,,,,,,,,464.4,,,,454.4,,,,,,
edison-park,,,,,,,,,,,,,103.4,,,,100.6,,,,,,
englewood,,,,,,,,,,,,,317.4,,,,242.2,,,,,,
forest-glen,,,,,,,,,,,,,149.6,,,,145.8,,,,,,
fuller-park,,,,,,,,,,,,,26.0,,,,18.2,,,,,,
gage-park,,,,,,,,,,,,,532.8,,,,463.6,,,,,,
garfield-ridge,,,,,,,,,,,,,315.0,,,,292.2,,,,,,
grand-boulevard,,,,,,,,,,,,,231.2,,,,187.2,,,,,,
greater-grand-crossing,,,,,,,,,,,,,323.6,,,,251.6,,,,,,
hegewisch,,,,,,,,,,,,,67.8,,,,58.6,,,,,,
hermosa,,,,,,,,,,,,,285.0,,,,277.4,,,,,,
humboldt-park,,,,,,,,,,,,,643.0,,,,603.2,,,,,,
hyde-park,,,,,,,,,,,,,200.6,,,,179.2,,,,,,
irving-park,,,,,,,,,,,,,622.8,,,,616.8,,,,,,
jefferson-park,,,,,,,,,,,,,247.6,,,,244.6,,,,,,
kenwood,,,,,,,,,,,,,151.0,,,,128.8,,,,,,
lake-view,,,,,,,,,,,,,1136.6,,,,1098.2,,,,,,
lincoln-park,,,,,,,,,,,,,707.8,,,,686.6,,,,,,
lincoln-square,,,,,,,,,,,,,513.2,,,,518.6,,,,,,
logan-square,,,,,,,,,,,,,983.6,,,,946.6,,,,,,
loop,,,,,,,,,,,,,285.8,,,,277.8,,,,,,
lower-west-side,,,,,,,,,,,,,384.6,,,,347.0,,,,,,
mckinley-park,,,,,,,,,,,,,186.4,,,,164.6,,,,,,
montclare,,,,,,,,,,,,,,,,,,,,,,,
morgan-park,,,,,,,,,,,,,187.2,,,,171.0,,,,,,
mount-greenwood,,,,,,,,,,,,,202.0,,,,196.4,,,,,,
near-north-side,,,,,,,,,,,,,723.4,,,,701.0,,,,,,
near-south-side,,,,,,,,,,,,,348.4,,,,334.4,,,,,,
near-west-side,,,,,,,,,,,,,775.4,,,,753.8,,,,,,
