location,colorectal-cancer-screening,health-care-satisfaction,hiv-viral-suppression,cervical-cancer-screening,preventable-hospitalizations,adult-flu-vaccine,breast-cancer-screening,children-aged-19-35-months-with-up-to-date-immunizations,hpv-vaccination,received-needed-care,early-intervention-services,engagement-in-hiv-care,prenatal-care-in-first-trimester,no-health-insurance,annual-dental-cleaning,dental-care-emergencies,early-and-adequate-prenatal-care,school-based-health-services---dental,school-based-health-services---vision,school-based-health-services---sti-screening,avoidable-ed-visits,primary-care-provider,routine-checkup
albany-park,,,,,,,,,,,,86,,13973,,,,,,,,,
archer-heights,,,,,,,,,,,,5,,3331,,,,,,,,,
armour-square,,,,,,,,,,,,,,3543,,,,,,,,,
ashburn,,,,,,,,,,,,30,,5673,,,,,,,,,
auburn-gresham,,,,,,,,,,,,69,,7942,,,,,,,,,
austin,,,,,,,,,,,,155,,18551,,,,,,,,,
avalon-park,,,,,,,,,,,,18,,1575,,,,,,,,,
avondale,,,,,,,,,,,,52,,11484,,,,,,,,,
belmont-cragin,,,,,,,,,,,,63,,20249,,,,,,,,,
beverly,,,,,,,,,,,,14,,1037,,,,,,,,,
bridgeport,,,,,,,,,,,,19,,6615,,,,,,,,,
brighton-park,,,,,,,,,,,,26,,12954,,,,,,,,,
burnside,,,,,,,,,,,,5,,347,,,,,,,,,
calumet-heights,,,,,,,,,,,,17,,1502,,,,,,,,,
chatham,,,,,,,,,,,,95,,5286,,,,,,,,,
chicago-lawn,,,,,,,,,,,,52,,13514,,,,,,,,,
clearing,,,,,,,,,,,,9,,3181,,,,,,,,,
douglas,,,,,,,,,,,,47,,2403,,,,,,,,,
dunning,,,,,,,,,,,,17,,7431,,,,,,,,,
east-garfield-park,,,,,,,,,,,,40,,3492,,,,,,,,,
east-side,,,,,,,,,,,,,,4133,,,,,,,,,
edgewater,,,,,,,,,,,,449,,8488,,,,,,,,,
edison-park,,,,,,,,,,,,,,791,,,,,,,,,
englewood,,,,,,,,,,,,66,,4996,,,,,,,,,
forest-glen,,,,,,,,,,,,9,,1236,,,,,,,,,
fuller-park,,,,,,,,,,,,6,,466,,,,,,,,,
gage-park,,,,,,,,,,,,25,,11981,,,,,,,,,
garfield-ridge,,,,,,,,,,,,8,,3860,,,,,,,,,
grand-boulevard,,,,,,,,,,,,65,,3532,,,,,,,,,
greater-grand-crossing,,,,,,,,,,,,84,,5905,,,,,,,,,
hegewisch,,,,,,,,,,,,,,1083,,,,,,,,,
hermosa,,,,,,,,,,,,20,,6683,,,,,,,,,
humboldt-park,,,,,,,,,,,,110,,12617,,,,,,,,,
hyde-park,,,,,,,,,,,,34,,2489,,,,,,,,,
irving-park,,,,,,,,,,,,70,,13365,,,,,,,,,
jefferson-park,,,,,,,,,,,,11,,4012,,,,,,,,,
kenwood,,,,,,,,,,,,40,,1678,,,,,,,,,
lake-view,,,,,,,,,,,,290,,6938,,,,,,,,,
lincoln-park,,,,,,,,,,,,54,,3035,,,,,,,,,
lincoln-square,,,,,,,,,,,,72,,5686,,,,,,,,,
logan-square,,,,,,,,,,,,82,,13604,,,,,,,,,
loop,,,,,,,,,,,,37,,1604,,,,,,,,,
lower-west-side,,,,,,,,,,,,26,,9819,,,,,,,,,
mckinley-park,,,,,,,,,,,,,,3510,,,,,,,,,
montclare,,,,,,,,,,,,,,,,,,,,,,,
morgan-park,,,,,,,,,,,,34,,2967,,,,,,,,,
mount-greenwood,,,,,,,,,,,,,,601,,,,,,,,,
near-north-side,,,,,,,,,,,,103,,4562,,,,,,,,,
near-south-side,,,,,,,,,,,,31,,949,,,,,,,,,
near-west-side,,,,,,,,,,,,78,,4776,,,,,,,,,
new-city,,,,,,,,,,,,38,,10440,,,,,,,,,
north-center,,,,,,,,,,,,37,,2416,,,,,,,,,
north-lawndale,,,,,,,,,,,,77,,6003,,,,,,,,,
north-park,,,,,,,,,,,,23,,2324,,,,,,,,,
norwood-park,,,,,,,,,,,,8,,2594,,,,,,,,,
oakland,,,,,,,,,,,,9,,828,,,,,,,,,
ohare,,,,,,,,,,,,8,,3808,,,,,,,,,
portage-park,,,,,,,,,,,,43,,11752,,,,,,,,,
pullman,,,,,,,,,,,,11,,1100,,,,,,,,,
riverdale,,,,,,,,,,,,,,954,,,,,,,,,
rogers-park,,,,,,,,,,,,298,,10926,,,,,,,,,
roseland,,,,,,,,,,,,62,,6069,,,,,,,,,
south-chicago,,,,,,,,,,,,72,,4501,,,,,,,,,
south-deering,,,,,,,,,,,,29,,2793,,,,,,,,,
south-lawndale,,,,,,,,,,,,52,,21128,,,,,,,,,
south-shore,,,,,,,,,,,,190,,8350,,,,,,,,,
uptown,,,,,,,,,,,,428,,8046,,,,,,,,,
washington-heights,,,,,,,,,,,,41,,3565,,,,,,,,,
washington-park,,,,,,,,,,,,31,,1563,,,,,,,,,
west-elsdon,,,,,,,,,,,,,,3634,,,,,,,,,
west-englewood,,,,,,,,,,,,53,,7108,,,,,,,,,
west-garfield-park,,,,,,,,,,,,27,,3522,,,,,,,,,
west-lawn,,,,,,,,,,,,9,,6307,,,,,,,,,
west-pullman,,,,,,,,,,,,50,,4926,,,,,,,,,
west-ridge,,,,,,,,,,,,107,,13955,,,,,,,,,
west-town,,,,,,,,,,,,97,,10985,,,,,,,,,
woodlawn,,,,,,,,,,,,60,,3439,,,,,,,,,
