location,colorectal-cancer-screening,health-care-satisfaction,hiv-viral-suppression,cervical-cancer-screening,preventable-hospitalizations,adult-flu-vaccine,breast-cancer-screening,children-aged-19-35-months-with-up-to-date-immunizations,hpv-vaccination,received-needed-care,early-intervention-services,engagement-in-hiv-care,prenatal-care-in-first-trimester,no-health-insurance,annual-dental-cleaning,dental-care-emergencies,early-and-adequate-prenatal-care,school-based-health-services---dental,school-based-health-services---vision,school-based-health-services---sti-screening,avoidable-ed-visits,primary-care-provider,routine-checkup
albany-park,,,,,,,,,,,,49.7109826589595,73.5,27.1,,,77.1,,,,,,
archer-heights,,,,,,,,,,,,41.6666666666667,74.4,25.1,,,69.6,,,,,,
armour-square,,,,,,,,,,,,,81.9,25.3,,,66.0,,,,,,
ashburn,,,,,,,,,,,,40.0,77.2,13.4,,,73.4,,,,,,
auburn-gresham,,,,,,,,,,,,26.8482490272374,66.8,17.3,,,60.0,,,,,,
austin,,,,,,,,,,,,28.4926470588235,68.4,19.2,,,66.7,,,,,,
avalon-park,,,,,,,,,,,,31.0344827586207,72.2,16.1,,,62.8,,,,,,
avondale,,,,,,,,,,,,40.3100775193798,78.9,28.9,,,80.6,,,,,,
belmont-cragin,,,,,,,,,,,,35.195530726257,75.4,25.7,,,76.9,,,,,,
beverly,,,,,,,,,,,,46.6666666666667,87.6,5.0,,,87.0,,,,,,
bridgeport,,,,,,,,,,,,35.8490566037736,84.0,19.5,,,72.5,,,,,,
brighton-park,,,,,,,,,,,,29.2134831460674,78.5,29.3,,,69.0,,,,,,
burnside,,,,,,,,,,,,31.25,61.2,13.3,,,56.6,,,,,,
calumet-heights,,,,,,,,,,,,27.8688524590164,68.7,10.9,,,62.7,,,,,,
chatham,,,,,,,,,,,,36.9649805447471,68.9,16.9,,,61.5,,,,,,
chicago-lawn,,,,,,,,,,,,28.8888888888889,71.6,24.3,,,65.9,,,,,,
clearing,,,,,,,,,,,,36.0,79.3,12.7,,,78.0,,,,,,
douglas,,,,,,,,,,,,34.0579710144928,79.7,12.3,,,65.2,,,,,,
dunning,,,,,,,,,,,,36.9565217391304,78.0,17.3,,,82.4,,,,,,
east-garfield-park,,,,,,,,,,,,23.9520958083832,65.5,17.1,,,63.0,,,,,,
east-side,,,,,,,,,,,,,79.5,17.4,,,69.2,,,,,,
edgewater,,,,,,,,,,,,45.8631256384065,78.2,15.7,,,80.3,,,,,,
edison-park,,,,,,,,,,,,,84.1,7.0,,,86.4,,,,,,
englewood,,,,,,,,,,,,32.512315270936,64.6,19.1,,,52.5,,,,,,
forest-glen,,,,,,,,,,,,37.5,82.8,6.7,,,84.8,,,,,,
fuller-park,,,,,,,,,,,,28.5714285714286,64.4,19.0,,,48.1,,,,,,
gage-park,,,,,,,,,,,,37.3134328358209,77.4,29.1,,,69.8,,,,,,
garfield-ridge,,,,,,,,,,,,27.5862068965517,78.7,10.9,,,76.5,,,,,,
grand-boulevard,,,,,,,,,,,,31.4009661835749,76.7,15.7,,,65.3,,,,,,
greater-grand-crossing,,,,,,,,,,,,33.6,67.1,18.5,,,55.0,,,,,,
hegewisch,,,,,,,,,,,,,76.0,12.1,,,69.1,,,,,,
hermosa,,,,,,,,,,,,27.027027027027,75.9,26.2,,,77.7,,,,,,
humboldt-park,,,,,,,,,,,,29.1005291005291,72.0,22.9,,,70.7,,,,,,
hyde-park,,,,,,,,,,,,31.7757009345794,85.1,9.3,,,80.2,,,,,,
irving-park,,,,,,,,,,,,41.9161676646707,78.9,23.8,,,81.7,,,,,,
jefferson-park,,,,,,,,,,,,34.375,78.3,14.7,,,81.4,,,,,,
kenwood,,,,,,,,,,,,32.0,82.7,9.6,,,73.3,,,,,,
lake-view,,,,,,,,,,,,37.7113133940182,91.1,7.1,,,92.5,,,,,,
lincoln-park,,,,,,,,,,,,39.1304347826087,91.0,4.6,,,93.1,,,,,,
lincoln-square,,,,,,,,,,,,46.7532467532468,81.4,14.2,,,85.6,,,,,,
logan-square,,,,,,,,,,,,29.7101449275362,83.8,18.3,,,84.5,,,,,,
loop,,,,,,,,,,,,43.0232558139535,85.3,4.9,,,87.9,,,,,,
lower-west-side,,,,,,,,,,,,25.7425742574257,77.9,28.5,,,73.1,,,,,,
mckinley-park,,,,,,,,,,,,,79.3,21.5,,,72.3,,,,,,
montclare,,,,,,,,,,,,,,,,,,,,,,,
morgan-park,,,,,,,,,,,,43.0379746835443,76.8,10.3,,,73.1,,,,,,
mount-greenwood,,,,,,,,,,,,,88.8,3.2,,,89.7,,,,,,
near-north-side,,,,,,,,,,,,40.3921568627451,86.5,5.3,,,88.0,,,,,,
near-south-side,,,,,,,,,,,,38.75,88.4,4.3,,,90.1,,,,,,
near-west-side,,,,,,,,,,,,28.5714285714286,83.1,7.8,,,84.4,,,,,,
new-city,,,,,,,,,,,,28.3582089552239,70.8,25.5,,,62.5,,,,,,
north-center,,,,,,,,,,,,43.5294117647059,91.4,7.0,,,93.5,,,,,,
north-lawndale,,,,,,,,,,,,25.0,67.8,17.2,,,60.5,,,,,,
north-park,,,,,,,,,,,,60.5263157894737,70.2,12.7,,,74.4,,,,,,
norwood-park,,,,,,,,,,,,32.0,82.0,6.3,,,85.6,,,,,,
oakland,,,,,,,,,,,,21.9512195121951,80.6,12.9,,,64.3,,,,,,
ohare,,,,,,,,,,,,53.3333333333333,72.2,17.4,,,75.5,,,,,,
portage-park,,,,,,,,,,,,43.4343434343434,77.6,18.1,,,80.3,,,,,,
pullman,,,,,,,,,,,,37.9310344827586,75.8,16.9,,,69.5,,,,,,
riverdale,,,,,,,,,,,,,66.1,13.5,,,52.0,,,,,,
rogers-park,,,,,,,,,,,,39.6276595744681,70.5,20.7,,,70.4,,,,,,
roseland,,,,,,,,,,,,30.6930693069307,66.2,14.4,,,57.3,,,,,,
south-chicago,,,,,,,,,,,,35.2941176470588,69.6,16.0,,,56.3,,,,,,
south-deering,,,,,,,,,,,,42.6470588235294,72.2,18.3,,,62.2,,,,,,
south-lawndale,,,,,,,,,,,,11.4285714285714,75.2,32.0,,,69.4,,,,,,
south-shore,,,,,,,,,,,,39.832285115304,68.6,17.3,,,59.1,,,,,,
uptown,,,,,,,,,,,,42.0432220039293,80.0,15.0,,,82.5,,,,,,
washington-heights,,,,,,,,,,,,41.0,69.4,13.2,,,66.3,,,,,,
washington-park,,,,,,,,,,,,33.3333333333333,70.1,13.0,,,54.1,,,,,,
west-elsdon,,,,,,,,,,,,,79.5,18.9,,,72.2,,,,,,
west-englewood,,,,,,,,,,,,26.2376237623762,62.5,22.1,,,52.1,,,,,,
west-garfield-park,,,,,,,,,,,,20.4545454545455,63.9,19.9,,,60.8,,,,,,
west-lawn,,,,,,,,,,,,24.3243243243243,76.2,19.3,,,70.1,,,,,,
west-pullman,,,,,,,,,,,,36.4963503649635,64.9,15.6,,,55.3,,,,,,
west-ridge,,,,,,,,,,,,45.9227467811159,68.5,19.6,,,70.8,,,,,,
west-town,,,,,,,,,,,,32.9931972789116,86.9,12.9,,,88.9,,,,,,
woodlawn,,,,,,,,,,,,29.7029702970297,73.6,13.0,,,62.2,,,,,,
