location,prescription-opiate-misuse,youth-binge-drinking,adult-binge-drinking,smoking-during-pregnancy,adult-smoking,youth-smoking,adult-e-cigarette-use,youth-fruit-and-vegetable-servings,youth-soda-consumption,youth-physical-activity,adult-fruit-and-vegetable-servings,adult-physical-inactivity,adult-soda-consumption,teen-birth-rate,youth-condom-use
albany-park,,,,5.8,,,,,,,,,,60.0,
archer-heights,,,,2.2,,,,,,,,,,21.4,
armour-square,,,,2.4,,,,,,,,,,8.2,
ashburn,,,,10.6,,,,,,,,,,46.0,
auburn-gresham,,,,51.6,,,,,,,,,,107.8,
austin,,,,98.6,,,,,,,,,,264.6,
avalon-park,,,,6.8,,,,,,,,,,13.4,
avondale,,,,6.0,,,,,,,,,,52.6,
belmont-cragin,,,,16.4,,,,,,,,,,146.6,
beverly,,,,2.8,,,,,,,,,,5.0,
bridgeport,,,,8.2,,,,,,,,,,25.8,
brighton-park,,,,6.4,,,,,,,,,,83.8,
burnside,,,,1.6,,,,,,,,,,9.2,
calumet-heights,,,,7.0,,,,,,,,,,17.2,
chatham,,,,31.8,,,,,,,,,,57.8,
chicago-lawn,,,,43.2,,,,,,,,,,145.4,
clearing,,,,8.8,,,,,,,,,,17.6,
douglas,,,,5.4,,,,,,,,,,21.2,
dunning,,,,12.0,,,,,,,,,,17.6,
east-garfield-park,,,,25.2,,,,,,,,,,69.8,
east-side,,,,6.4,,,,,,,,,,40.0,
edgewater,,,,6.2,,,,,,,,,,20.6,
edison-park,,,,2.2,,,,,,,,,,0.4,
englewood,,,,66.4,,,,,,,,,,109.0,
forest-glen,,,,0.8,,,,,,,,,,2.6,
fuller-park,,,,4.8,,,,,,,,,,8.2,
gage-park,,,,6.8,,,,,,,,,,94.0,
garfield-ridge,,,,7.2,,,,,,,,,,28.8,
grand-boulevard,,,,15.4,,,,,,,,,,40.8,
greater-grand-crossing,,,,48.4,,,,,,,,,,92.0,
hegewisch,,,,6.6,,,,,,,,,,10.4,
hermosa,,,,7.0,,,,,,,,,,50.8,
humboldt-park,,,,42.4,,,,,,,,,,156.8,
hyde-park,,,,2.8,,,,,,,,,,4.2,
irving-park,,,,8.0,,,,,,,,,,46.8,
jefferson-park,,,,6.6,,,,,,,,,,10.0,
kenwood,,,,6.2,,,,,,,,,,13.4,
lake-view,,,,7.4,,,,,,,,,,6.0,
lincoln-park,,,,4.4,,,,,,,,,,3.4,
lincoln-square,,,,2.8,,,,,,,,,,13.2,
logan-square,,,,17.4,,,,,,,,,,79.8,
loop,,,,1.0,,,,,,,,,,1.8,
lower-west-side,,,,5.6,,,,,,,,,,54.4,
mckinley-park,,,,5.6,,,,,,,,,,21.6,
montclare,,,,,,,,,,,,,,,
morgan-park,,,,11.6,,,,,,,,,,26.8,
mount-greenwood,,,,5.4,,,,,,,,,,3.6,
near-north-side,,,,7.4,,,,,,,,,,17.6,
near-south-side,,,,2.6,,,,,,,,,,6.4,
near-west-side,,,,28.4,,,,,,,,,,55.6,
new-city,,,,40.2,,,,,,,,,,125.8,
north-center,,,,3.4,,,,,,,,,,4.6,
north-lawndale,,,,52.2,,,,,,,,,,140.4,
north-park,,,,1.0,,,,,,,,,,4.8,
norwood-park,,,,9.2,,,,,,,,,,5.0,
oakland,,,,3.2,,,,,,,,,,11.6,
ohare,,,,3.4,,,,,,,,,,2.8,
portage-park,,,,12.8,,,,,,,,,,44.8,
pullman,,,,5.8,,,,,,,,,,10.4,
riverdale,,,,11.4,,,,,,,,,,19.4,
rogers-park,,,,15.8,,,,,,,,,,48.0,
roseland,,,,41.8,,,,,,,,,,111.0,
south-chicago,,,,33.2,,,,,,,,,,78.6,
south-deering,,,,12.8,,,,,,,,,,34.4,
south-lawndale,,,,13.4,,,,,,,,,,176.2,
south-shore,,,,63.2,,,,,,,,,,98.8,
uptown,,,,7.8,,,,,,,,,,26.2,
washington-heights,,,,15.6,,,,,,,,,,51.4,
washington-park,,,,21.0,,,,,,,,,,39.8,
west-elsdon,,,,1.4,,,,,,,,,,21.6,
west-englewood,,,,66.6,,,,,,,,,,141.0,
west-garfield-park,,,,28.0,,,,,,,,,,77.8,
west-lawn,,,,4.8,,,,,,,,,,57.8,
west-pullman,,,,37.0,,,,,,,,,,76.8,
west-ridge,,,,11.0,,,,,,,,,,54.0,
west-town,,,,16.6,,,,,,,,,,52.6,
woodlawn,,,,29.2,,,,,,,,,,59.2,
