location,prescription-opiate-misuse,youth-binge-drinking,adult-binge-drinking,smoking-during-pregnancy,adult-smoking,youth-smoking,adult-e-cigarette-use,youth-fruit-and-vegetable-servings,youth-soda-consumption,youth-physical-activity,adult-fruit-and-vegetable-servings,adult-physical-inactivity,adult-soda-consumption,teen-birth-rate,youth-condom-use
albany-park,,,,,,,,,,,,,,36.3,
archer-heights,,,,,,,,,,,,,,38.8,
armour-square,,,,,,,,,,,,,,21.7,
ashburn,,,,,,,,,,,,,,27.6,
auburn-gresham,,,,,,,,,,,,,,49.7,
austin,,,,,,,,,,,,,,59.8,
avalon-park,,,,,,,,,,,,,,34.0,
avondale,,,,,,,,,,,,,,43.5,
belmont-cragin,,,,,,,,,,,,,,47.9,
beverly,,,,,,,,,,,,,,7.6,
bridgeport,,,,,,,,,,,,,,27.3,
brighton-park,,,,,,,,,,,,,,45.0,
burnside,,,,,,,,,,,,,,69.2,
calumet-heights,,,,,,,,,,,,,,38.1,
chatham,,,,,,,,,,,,,,50.0,
chicago-lawn,,,,,,,,,,,,,,55.7,
clearing,,,,,,,,,,,,,,23.1,
douglas,,,,,,,,,,,,,,36.9,
dunning,,,,,,,,,,,,,,15.1,
east-garfield-park,,,,,,,,,,,,,,69.5,
east-side,,,,,,,,,,,,,,43.4,
edgewater,,,,,,,,,,,,,,12.6,
edison-park,,,,,,,,,,,,,,1.6,
englewood,,,,,,,,,,,,,,69.2,
forest-glen,,,,,,,,,,,,,,5.4,
fuller-park,,,,,,,,,,,,,,63.6,
gage-park,,,,,,,,,,,,,,50.6,
garfield-ridge,,,,,,,,,,,,,,27.0,
grand-boulevard,,,,,,,,,,,,,,46.6,
greater-grand-crossing,,,,,,,,,,,,,,65.1,
hegewisch,,,,,,,,,,,,,,35.1,
hermosa,,,,,,,,,,,,,,49.4,
humboldt-park,,,,,,,,,,,,,,61.9,
hyde-park,,,,,,,,,,,,,,4.7,
irving-park,,,,,,,,,,,,,,31.5,
jefferson-park,,,,,,,,,,,,,,14.9,
kenwood,,,,,,,,,,,,,,29.0,
lake-view,,,,,,,,,,,,,,7.9,
lincoln-park,,,,,,,,,,,,,,1.8,
lincoln-square,,,,,,,,,,,,,,19.2,
logan-square,,,,,,,,,,,,,,42.1,
loop,,,,,,,,,,,,,,1.1,
lower-west-side,,,,,,,,,,,,,,44.9,
mckinley-park,,,,,,,,,,,,,,38.6,
montclare,,,,,,,,,,,,,,,
morgan-park,,,,,,,,,,,,,,27.7,
mount-greenwood,,,,,,,,,,,,,,4.5,
near-north-side,,,,,,,,,,,,,,20.3,
near-south-side,,,,,,,,,,,,,,29.6,
near-west-side,,,,,,,,,,,,,,32.0,
new-city,,,,,,,,,,,,,,60.7,
north-center,,,,,,,,,,,,,,13.9,
north-lawndale,,,,,,,,,,,,,,77.8,
north-park,,,,,,,,,,,,,,8.6,
norwood-park,,,,,,,,,,,,,,5.6,
oakland,,,,,,,,,,,,,,45.7,
ohare,,,,,,,,,,,,,,14.8,
portage-park,,,,,,,,,,,,,,23.0,
pullman,,,,,,,,,,,,,,37.8,
riverdale,,,,,,,,,,,,,,53.9,
rogers-park,,,,,,,,,,,,,,26.7,
roseland,,,,,,,,,,,,,,52.9,
south-chicago,,,,,,,,,,,,,,56.6,
south-deering,,,,,,,,,,,,,,54.3,
south-lawndale,,,,,,,,,,,,,,60.5,
south-shore,,,,,,,,,,,,,,50.7,
uptown,,,,,,,,,,,,,,30.3,
washington-heights,,,,,,,,,,,,,,46.1,
washington-park,,,,,,,,,,,,,,59.9,
west-elsdon,,,,,,,,,,,,,,31.0,
west-englewood,,,,,,,,,,,,,,78.4,
west-garfield-park,,,,,,,,,,,,,,84.4,
west-lawn,,,,,,,,,,,,,,43.6,
west-pullman,,,,,,,,,,,,,,53.1,
west-ridge,,,,,,,,,,,,,,24.8,
west-town,,,,,,,,,,,,,,35.0,
woodlawn,,,,,,,,,,,,,,46.0,
