location,prescription-opiate-misuse,youth-binge-drinking,adult-binge-drinking,smoking-during-pregnancy,adult-smoking,youth-smoking,adult-e-cigarette-use,youth-fruit-and-vegetable-servings,youth-soda-consumption,youth-physical-activity,adult-fruit-and-vegetable-servings,adult-physical-inactivity,adult-soda-consumption,teen-birth-rate,youth-condom-use
albany-park,,,,0.7,,,,,,,,,,,
archer-heights,,,,1.0,,,,,,,,,,,
armour-square,,,,1.5,,,,,,,,,,,
ashburn,,,,2.2,,,,,,,,,,,
auburn-gresham,,,,8.2,,,,,,,,,,,
austin,,,,6.4,,,,,,,,,,,
avalon-park,,,,6.4,,,,,,,,,,,
avondale,,,,1.0,,,,,,,,,,,
belmont-cragin,,,,1.2,,,,,,,,,,,
beverly,,,,1.3,,,,,,,,,,,
bridgeport,,,,2.0,,,,,,,,,,,
brighton-park,,,,0.8,,,,,,,,,,,
burnside,,,,4.9,,,,,,,,,,,
calumet-heights,,,,5.8,,,,,,,,,,,
chatham,,,,8.0,,,,,,,,,,,
chicago-lawn,,,,4.5,,,,,,,,,,,
clearing,,,,3.0,,,,,,,,,,,
douglas,,,,2.3,,,,,,,,,,,
dunning,,,,2.5,,,,,,,,,,,
east-garfield-park,,,,7.2,,,,,,,,,,,
east-side,,,,1.8,,,,,,,,,,,
edgewater,,,,1.0,,,,,,,,,,,
edison-park,,,,1.7,,,,,,,,,,,
englewood,,,,12.5,,,,,,,,,,,
forest-glen,,,,0.4,,,,,,,,,,,
fuller-park,,,,11.1,,,,,,,,,,,
gage-park,,,,0.9,,,,,,,,,,,
garfield-ridge,,,,1.7,,,,,,,,,,,
grand-boulevard,,,,4.7,,,,,,,,,,,
greater-grand-crossing,,,,9.2,,,,,,,,,,,
hegewisch,,,,6.1,,,,,,,,,,,
hermosa,,,,1.7,,,,,,,,,,,
humboldt-park,,,,4.3,,,,,,,,,,,
hyde-park,,,,1.1,,,,,,,,,,,
irving-park,,,,0.9,,,,,,,,,,,
jefferson-park,,,,2.0,,,,,,,,,,,
kenwood,,,,3.0,,,,,,,,,,,
lake-view,,,,0.5,,,,,,,,,,,
lincoln-park,,,,0.5,,,,,,,,,,,
lincoln-square,,,,0.4,,,,,,,,,,,
logan-square,,,,1.4,,,,,,,,,,,
loop,,,,0.3,,,,,,,,,,,
lower-west-side,,,,1.1,,,,,,,,,,,
mckinley-park,,,,2.2,,,,,,,,,,,
montclare,,,,,,,,,,,,,,,
morgan-park,,,,4.4,,,,,,,,,,,
mount-greenwood,,,,2.3,,,,,,,,,,,
near-north-side,,,,0.8,,,,,,,,,,,
near-south-side,,,,0.6,,,,,,,,,,,
near-west-side,,,,2.8,,,,,,,,,,,
new-city,,,,4.9,,,,,,,,,,,
north-center,,,,0.5,,,,,,,,,,,
north-lawndale,,,,7.6,,,,,,,,,,,
north-park,,,,0.5,,,,,,,,,,,
norwood-park,,,,2.4,,,,,,,,,,,
oakland,,,,3.3,,,,,,,,,,,
ohare,,,,1.6,,,,,,,,,,,
portage-park,,,,1.5,,,,,,,,,,,
pullman,,,,6.8,,,,,,,,,,,
riverdale,,,,11.2,,,,,,,,,,,
rogers-park,,,,2.0,,,,,,,,,,,
roseland,,,,7.4,,,,,,,,,,,
south-chicago,,,,7.0,,,,,,,,,,,
south-deering,,,,5.8,,,,,,,,,,,
south-lawndale,,,,1.0,,,,,,,,,,,
south-shore,,,,8.4,,,,,,,,,,,
uptown,,,,1.0,,,,,,,,,,,
washington-heights,,,,5.3,,,,,,,,,,,
washington-park,,,,9.2,,,,,,,,,,,
west-elsdon,,,,0.5,,,,,,,,,,,
west-englewood,,,,10.6,,,,,,,,,,,
west-garfield-park,,,,8.4,,,,,,,,,,,
west-lawn,,,,0.9,,,,,,,,,,,
west-pullman,,,,8.6,,,,,,,,,,,
west-ridge,,,,0.9,,,,,,,,,,,
west-town,,,,1.1,,,,,,,,,,,
woodlawn,,,,8.1,,,,,,,,,,,
