location,diabetes-related-lower-extremity-amputation-hospitalizations,female-breast-cancer-incidence,colorectal-cancer-incidence,prostate-cancer-incidence,lung-cancer-incidence,lung-cancer-incidence,late-stage-female-breast-cancer-incidence,child-obesity,asthma,diabetes,hypertension,diabetes-related-hospitalizations,adult-obesity,asthma-ed-visits-(0-4-years),asthma-ed-visits-(0-18-years),asthma-ed-visits-(65+-years),cancer-incidence,cervical-cancer-incidence,schizophrenic-disorder-hospitalizations,serious-psychological-distress,youth-depression,youth-suicide-attempts,drug-related-hospitalizations,alcohol-related-hospitalizations,behavioral-health-hospitalizations,behavioral-health-treatment,mood-and-depressive-disorder-hospitalizations,crude-birth-rate,general-fertility-rate,total-fertility-rate,twin-birth-rate,very-low-birthweight,lead-poisoning,very-low-birthweight,cesarean-delivery,mean-age-at-first-birth,preterm-births,hiv-incidence,linkage-to-hiv-care,tuberculosis,varicella,chlamydia,gonorrhea,hiv-prevalence,pertussis,syphilis,have-a-disability,overall-health-status,non-fatal-shootings,sexual-assault,serious-traffic-crash-injuries
albany-park,,35.0,18.0,16.0,,,7.0,,,,,,,,,,161.0,3.0,,,,,,,,,,834.2,831.2,834.2,22.0,9.6,,9.6,129.6,,72.0,,,,,,,,,,,,,,
archer-heights,,9.0,4.0,5.0,,,,,,,,,,,,,44.0,1.0,,,,,,,,,,230.2,229.8,230.0,5.0,3.6,,3.6,28.8,,18.6,,,,,,,,,,,,,,
armour-square,,15.0,10.0,,,,,,,,,,,,,,66.0,1.0,,,,,,,,,,160.6,160.2,160.6,4.0,2.8,,2.8,30.6,,15.4,,,,,,,,,,,,,,
ashburn,,55.0,21.0,33.0,,,11.0,,,,,,,,,,197.0,3.0,,,,,,,,,,493.2,491.6,493.0,15.0,9.6,,9.6,72.4,,55.0,,,,,,,,,,,,,,
auburn-gresham,,77.0,38.0,45.0,,,19.0,,,,,,,,,,321.0,5.0,,,,,,,,,,634.2,632.6,634.2,28.0,22.6,,22.6,99.0,,93.4,,,,,,,,,,,,,,
austin,,124.0,58.0,79.0,,,35.0,,,,,,,,,,557.0,6.0,,,,,,,,,,1556.0,1550.8,1555.8,47.0,45.0,,45.0,200.0,,207.8,,,,,,,,,,,,,,
avalon-park,,24.0,5.0,13.0,,,6.0,,,,,,,,,,77.0,1.0,,,,,,,,,,106.0,105.8,106.0,3.0,3.2,,3.2,18.6,,14.2,,,,,,,,,,,,,,
avondale,,26.0,12.0,11.0,,,7.0,,,,,,,,,,108.0,1.0,,,,,,,,,,630.8,629.2,630.8,19.0,10.0,,10.0,99.6,,56.4,,,,,,,,,,,,,,
belmont-cragin,,44.0,24.0,27.0,,,15.0,,,,,,,,,,224.0,5.0,,,,,,,,,,1325.4,1322.0,1325.4,32.0,21.2,,21.2,175.2,,126.4,,,,,,,,,,,,,,
beverly,,42.0,7.0,21.0,,,7.0,,,,,,,,,,113.0,0.0,,,,,,,,,,215.6,214.8,215.4,13.0,5.8,,5.8,31.4,,23.4,,,,,,,,,,,,,,
