location,diabetes-related-lower-extremity-amputation-hospitalizations,female-breast-cancer-incidence,colorectal-cancer-incidence,prostate-cancer-incidence,lung-cancer-incidence,lung-cancer-incidence,late-stage-female-breast-cancer-incidence,child-obesity,asthma,diabetes,hypertension,diabetes-related-hospitalizations,adult-obesity,asthma-ed-visits-(0-4-years),asthma-ed-visits-(0-18-years),asthma-ed-visits-(65+-years),cancer-incidence,cervical-cancer-incidence,schizophrenic-disorder-hospitalizations,serious-psychological-distress,youth-depression,youth-suicide-attempts,drug-related-hospitalizations,alcohol-related-hospitalizations,behavioral-health-hospitalizations,behavioral-health-treatment,mood-and-depressive-disorder-hospitalizations,crude-birth-rate,general-fertility-rate,total-fertility-rate,twin-birth-rate,very-low-birthweight,lead-poisoning,very-low-birthweight,cesarean-delivery,mean-age-at-first-birth,preterm-births,hiv-incidence,linkage-to-hiv-care,tuberculosis,varicella,chlamydia,gonorrhea,hiv-prevalence,pertussis,syphilis,have-a-disability,overall-health-status,non-fatal-shootings,sexual-assault,serious-traffic-crash-injuries
albany-park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,26,,13,5,,,120,20,173,,,4821,,9,17,
archer-heights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,24,,0,0,,,38,6,12,,,1000,,2,1,
armour-square,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,26,,,,,,48,13,24,,0,1524,,0,1,
ashburn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,23,,,7,,,299,83,75,,,4071,,49,19,
auburn-gresham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,21,,28,17,,,815,310,257,,7,7510,,107,34,
austin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,,,21,,39,25,,,1743,579,544,,55,16250,,199,97,
avalon-park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,23,,,,,,112,29,58,,,1644,,25,6,
avondale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,26,,6,5,,,139,15,129,,5,3318,,22,11,
belmont-cragin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,23,,13,12,,,303,45,179,,,7007,,57,23,
beverly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,28,,,0,,,72,19,30,,,1566,,0,5,
bridgeport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,26,,,,,,67,11,53,,,3264,,7,11,
brighton-park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,23,,8,6,,,184,12,89,,5,3807,,26,18,
burnside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,20,,,0,,,60,16,16,,0,608,,2,6,
calumet-heights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,22,,5,7,,,134,49,61,,,3015,,23,7,
chatham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,22,,20,5,,,422,145,257,,15,5645,,44,26,
chicago-lawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,21,,13,17,,,707,235,180,,13,5007,,118,44,
clearing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,26,,,,,,48,,25,,,2596,,1,2,
douglas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,25,,7,9,,,167,54,138,,,3048,,14,7,
dunning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,27,,,,,,46,5,46,,,4132,,1,4,
east-garfield-park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,21,,9,6,,,402,118,167,,8,3379,,38,25,
east-side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,23,,,,,,71,12,27,,,2531,,13,7,
edgewater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,29,,53,31,,,162,79,979,,43,6247,,5,9,
edison-park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,30,,0,0,,,5,,9,,0,850,,0,1,
englewood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,20,,22,10,,,710,300,203,,26,4601,,121,32,
forest-glen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,30,,,0,,,12,,24,,,1729,,0,2,
fuller-park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,20,,,0,,,44,18,21,,,655,,12,5,
gage-park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,22,,6,5,,,210,19,67,,,2624,,52,17,
garfield-ridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,26,,,,,,75,14,29,,,3864,,7,4,
grand-boulevard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,24,,12,16,,,335,105,207,,15,4044,,22,12,
greater-grand-crossing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,21,,19,18,,,604,206,250,,11,4983,,105,39,
hegewisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,25,,,0,,,13,,7,,0,1221,,2,4,
hermosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,23,,,8,,,94,14,74,,,2972,,30,6,
humboldt-park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,22,,27,19,,,677,207,378,,16,8084,,153,32,
hyde-park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,29,,6,5,,,90,33,107,,7,2448,,1,7,
irving-park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,27,,6,6,,,157,33,167,,,5429,,14,25,
jefferson-park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,28,,,,,,29,,32,,,2820,,0,6,
kenwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,26,,11,,,,137,46,125,,,1832,,9,4,
lake-view,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,31,,62,41,,,214,118,769,,56,5479,,4,33,
lincoln-park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,31,,12,,,,116,35,138,,12,3092,,4,11,
lincoln-square,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,30,,14,,,,81,24,154,,6,3155,,0,10,
logan-square,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,28,,27,16,,,303,68,276,,16,4935,,36,36,
loop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,31,,6,5,,,88,24,86,,,1346,,4,7,
lower-west-side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,24,,6,6,,,185,22,101,,,2802,,30,11,
mckinley-park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,25,,,,,,56,9,22,,0,1803,,9,5,
montclare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,25,,,,,,,,,,,1594,,1,1,
morgan-park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,24,,7,6,,,202,59,79,,0,3925,,26,13,
mount-greenwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,29,,,0,,,18,,6,,,1565,,0,2,
near-north-side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,31,,18,10,,,269,73,255,,12,6091,,19,26,
near-south-side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,31,,7,,,,72,19,80,,5,1578,,2,4,
near-west-side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,29,,19,11,,,537,139,273,,18,4850,,27,23,
new-city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,21,,12,6,,,440,170,134,,6,4078,,98,22,
north-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,31,,5,7,,,49,20,85,,,1891,,1,3,
north-lawndale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,20,,26,11,,,842,266,308,,12,5771,,91,41,
north-park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,27,,4,0,,,24,,38,,,2289,,1,6,
norwood-park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,30,,,,,,21,,25,,0,4966,,0,4,
oakland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,23,,0,,,,87,30,41,,,997,,2,5,
ohare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,28,,0,0,,,13,0,15,,,1715,,0,0,
portage-park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,27,,5,7,,,143,23,99,,,6011,,6,11,
pullman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,23,,,,,,87,35,29,,,1027,,16,6,
riverdale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,67,28,12,,,651,,19,7,
rogers-park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,27,,47,35,,,291,104,752,,32,5595,,23,21,
roseland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,21,,17,12,,,675,255,202,,10,7374,,146,41,
south-chicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,21,,19,16,,,395,129,204,,8,4473,,84,34,
south-deering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,21,,7,,,,174,51,68,,0,2310,,15,12,
south-lawndale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,,22,,19,9,,,426,50,455,,,7296,,93,29,
south-shore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,22,,36,24,,,733,243,477,,30,7371,,97,55,
uptown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,29,,51,45,,,160,77,1018,,56,6423,,43,20,
washington-heights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,22,,12,,,,356,116,100,,9,4377,,36,20,
washington-park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,21,,8,5,,,252,84,93,,6,1808,,64,12,
west-elsdon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,24,,,,,,47,,14,,,1543,,6,6,
west-englewood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,20,,22,9,,,756,276,202,,11,5039,,137,45,
west-garfield-park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,20,,11,14,,,340,123,132,,15,3102,,53,23,
west-lawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,23,,,6,,,124,14,37,,,2861,,9,4,
west-pullman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,21,,15,5,,,451,185,137,,9,4842,,86,30,
west-ridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,26,,14,16,,,138,39,233,,9,8313,,9,19,
west-town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,30,,20,22,,,291,76,294,,9,5749,,52,24,
woodlawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,23,,17,9,,,403,129,202,,11,3991,,96,31,
