location,opioid-overdose,suicide,drug-overdose-deaths,drug-induced-deaths,chronic-liver-disease-and-cirrhosis-deaths,alcohol-induced-deaths,opioid-related-overdose-deaths,cancer-deaths,lung-cancer-deaths,heart-disease-deaths,diabetes-deaths,coronary-heart-disease-deaths,colorectal-cancer-deaths,chronic-lower-respiratory-disease-deaths,alzheimers-disease-deaths,female-breast-cancer-deaths,diet-related-deaths,stroke-deaths,tobacco-related-deaths,prostate-cancer-deaths,nephritis-nephrotic-syndrome-and-nephrosis-deaths,cervical-cancer-deaths,traffic-crash-fatalities,firearm-related-homicides-by-injury-location,motor-vehicle-crash-deaths,injury-deaths,homicides,firearm-related-homicides,accidents,infant-mortality,influenza-and-pneumonia-deaths,years-of-potential-life-lost-(ypll),life-expectancy
albany-park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74
archer-heights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73
armour-square,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74
ashburn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73
auburn-gresham,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,68
austin,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,66
avalon-park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68
avondale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74
belmont-cragin,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,73
beverly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75
bridgeport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73
brighton-park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71
burnside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70
calumet-heights,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,72
chatham,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,71
chicago-lawn,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,72
clearing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74
douglas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64
dunning,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,76
east-garfield-park,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,61
east-side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73
edgewater,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,78
edison-park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77
englewood,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,62
forest-glen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78
fuller-park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59
gage-park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73
garfield-ridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74
grand-boulevard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57
greater-grand-crossing,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,65
hegewisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72
hermosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74
humboldt-park,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,68
hyde-park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75
