location,violent-crime-in-public-spaces,neighborhood-safety,violent-crime,bullying,school-fights,school-safety,food-access,income-diversity,food-stamps-snap,median-household-income,per-capita-income,child-poverty,household-poverty,individual-poverty,early-childhood-education,high-school-graduation,college-graduation-or-more,no-high-school-graduation,school-attendance,suspensions,limited-english-proficiency,single-parent-households,grandparents-raising-grandchildren,seniors-living-alone,foreign-born,unemployment
albany-park,61,,1411,,,,1552,,3001,47898,22346,3613,2951,9817,,26212,,8333,,,17092,1564,317,887,23350,2703
archer-heights,35,,445,,,,80,,852,43393,17783,989,563,2158,,5419,,2542,,,4418,587,89,391,5338,788
armour-square,24,,473,,,,5423,,1625,25098,15455,1059,2064,5160,,6602,,3471,,,7035,409,48,839,8431,1074
ashburn,180,,1399,,,,8295,,2303,62312,23471,1988,1387,5224,,22201,,4566,,,5033,1486,727,886,7080,2981
auburn-gresham,415,,4697,,,,6535,,5849,29500,16137,4397,4901,13469,,25304,,5355,,,188,2931,789,2094,575,5234
austin,1011,,9602,,,,10981,,11377,31055,15559,11001,9161,29529,,47647,,14123,,,3540,6397,1769,2792,4234,8110
avalon-park,84,,801,,,,1362,,1105,40725,22089,465,889,2070,,6255,,809,,,95,525,30,514,277,1008
avondale,71,,1386,,,,0,,1948,44228,22513,2672,2390,8349,,18795,,7214,,,11997,1302,379,771,14580,1668
belmont-cragin,239,,3012,,,,569,,4744,42138,16574,7036,4172,16412,,30156,,17870,,,28121,3938,939,1343,30569,4992
beverly,27,,440,,,,1539,,281,100357,40753,133,397,943,,13749,,488,,,313,337,166,759,661,784
bridgeport,56,,972,,,,1402,,2049,46029,22900,2066,2486,7104,,18665,,4970,,,9305,1213,225,949,11860,2118
brighton-park,87,,1443,,,,7060,,3286,35666,13438,4844,3027,12181,,14305,,11381,,,17152,1800,494,638,20639,2721
burnside,25,,223,,,,1518,,371,23274,14322,361,299,929,,1323,,357,,,15,95,123,267,68,234
calumet-heights,110,,848,,,,1636,,1221,50774,25528,300,617,1697,,9160,,1193,,,174,525,113,952,491,1094
chatham,326,,3208,,,,7707,,4656,36352,19531,2664,3666,8650,,18877,,2959,,,229,2107,724,2053,460,3043
chicago-lawn,491,,4346,,,,7310,,5716,30800,12633,7121,4771,17282,,22118,,9838,,,11252,3249,895,1137,13416,5588
clearing,14,,593,,,,3015,,963,58200,23425,1097,865,2686,,14212,,2729,,,3595,787,107,747,5155,1365
douglas,50,,1327,,,,4238,,2662,24683,21446,1752,3153,7040,,11560,,1824,,,1663,1133,91,1575,3616,1490
dunning,23,,942,,,,3379,,1156,59712,26461,1345,1754,4863,,26769,,4173,,,8839,1186,164,1681,13817,1694
east-garfield-park,255,,2972,,,,1424,,3581,24241,13200,3633,3059,9708,,9261,,2549,,,142,1707,335,811,281,1429
east-side,47,,768,,,,5552,,1463,41032,16632,2721,1229,5174,,9701,,4120,,,5580,1036,201,519,6770,1914
edgewater,76,,1644,,,,829,,3236,41188,35215,1778,4844,9532,,38951,,3670,,,7538,1166,27,3449,15431,2812
edison-park,0,,175,,,,336,,46,85114,43024,10,117,221,,8025,,438,,,639,196,9,477,1456,317
englewood,497,,4677,,,,6865,,4676,21125,11132,4234,4161,12062,,11569,,4006,,,301,2006,567,1255,585,3583
forest-glen,5,,231,,,,1301,,260,105419,44465,143,393,781,,12003,,691,,,1684,299,14,754,3617,574
fuller-park,37,,490,,,,2072,,527,18454,18589,208,410,814,,1291,,428,,,62,104,43,306,77,317
gage-park,178,,1535,,,,5492,,3010,38980,12360,4243,2187,9306,,12910,,10351,,,15938,1667,283,671,18391,3157
garfield-ridge,35,,1162,,,,2997,,1136,55060,23745,755,910,2677,,19787,,4584,,,5663,960,226,1517,8359,2087
grand-boulevard,118,,2082,,,,5147,,3616,28359,21255,2590,3247,7957,,12454,,2321,,,328,1602,291,1773,550,2381
greater-grand-crossing,436,,4325,,,,3962,,4818,27879,16429,4711,4306,12350,,17386,,3037,,,342,2620,610,1224,469,3560
hegewisch,10,,320,,,,1151,,425,54515,25800,553,620,1585,,5517,,792,,,734,383,178,457,1042,397
hermosa,86,,1056,,,,0,,1971,38509,15525,2304,1640,5648,,8927,,6519,,,9081,1031,230,424,8617,1279
humboldt-park,492,,4696,,,,7524,,6697,33060,15684,7301,5318,17396,,22183,,9931,,,9651,3625,764,1018,8861,4213
hyde-park,26,,826,,,,1673,,1245,49343,36355,616,2608,5196,,16398,,562,,,1332,866,81,1414,5061,1123
irving-park,110,,1690,,,,2499,,2363,53480,28071,1932,2538,7183,,31434,,7758,,,13226,1652,409,1319,18785,2156
jefferson-park,6,,621,,,,1036,,920,66445,30949,616,1080,2560,,17177,,2647,,,5049,516,133,1348,7699,1520
kenwood,45,,1000,,,,708,,1557,44038,38167,841,1888,3891,,11555,,1104,,,949,923,113,1329,2238,1373
lake-view,113,,2279,,,,2214,,1589,91571,62862,642,5546,10455,,72892,,1773,,,4105,1058,21,3603,12182,2691
lincoln-park,68,,1270,,,,438,,1275,99316,70646,603,3627,6882,,45612,,1312,,,1951,812,49,2397,6517,1901
lincoln-square,24,,1024,,,,1700,,1434,71510,43712,1019,2231,4797,,28766,,3290,,,5619,718,45,1120,10580,1917
logan-square,169,,2855,,,,1872,,3029,52625,35026,3954,4517,13258,,45232,,6750,,,13116,2642,705,1615,13858,2762
loop,57,,1939,,,,0,,426,84934,65196,340,2637,4439,,24408,,438,,,2426,246,40,1151,7110,1202
lower-west-side,99,,1434,,,,138,,2955,38929,19238,3213,3138,9846,,14264,,7713,,,11055,1561,297,817,13070,2098
mckinley-park,45,,517,,,,300,,1293,42029,18092,1831,1201,4377,,7113,,3259,,,4695,669,95,322,5800,1136
montclare,10,,373,,,,107,,764,46296,22914,634,694,1945,,,,,,,,,,,,
morgan-park,96,,1335,,,,3293,,1659,55128,28381,1716,1339,4837,,17606,,2099,,,702,1005,361,1532,1144,1681
mount-greenwood,4,,364,,,,714,,236,89755,33501,109,360,851,,11451,,589,,,263,404,66,615,629,672
