location,violent-crime-in-public-spaces,neighborhood-safety,violent-crime,bullying,school-fights,school-safety,food-access,income-diversity,food-stamps-snap,median-household-income,per-capita-income,child-poverty,household-poverty,individual-poverty,early-childhood-education,high-school-graduation,college-graduation-or-more,no-high-school-graduation,school-attendance,suspensions,limited-english-proficiency,single-parent-households,grandparents-raising-grandchildren,seniors-living-alone,foreign-born,unemployment
albany-park,,,,,,,3.0,62.0,18.2,,,30.2,17.9,19.5,,75.8778404979013,,24.1221595020987,,,35.3856983147696,9.49432404540764,,,44.8357303327637,9.1
archer-heights,,,,,,,0.6,58.4,22.2,,,26.3,14.6,16.3,,68.0693380228614,,31.9306619771386,,,36.0918225635161,15.2665799739922,,,40.1564733318288,11.9
armour-square,,,,,,,40.5,56.2,31.2,,,39.7,39.7,36.8,,65.5415467090241,,34.4584532909759,,,52.6020637056976,7.85933897002306,,,60.1913329049761,15.4
ashburn,,,,,,,20.2,61.3,18.0,,,18.0,10.8,12.4,,82.9416819217693,,17.0583180782307,,,12.5580118768402,11.5885518209467,,,16.560628742515,13.6
auburn-gresham,,,,,,,13.4,57.3,34.1,,,41.8,28.6,29.5,,82.5336768974852,,17.4663231025148,,,0.439971916686169,17.0903790087464,,,1.25430827625322,26.0
austin,,,,,,,11.1,56.7,35.5,,,43.5,28.6,30.6,,77.1361502347418,,22.8638497652582,,,3.91190478821566,19.9675375347255,,,4.33620433620434,19.5
avalon-park,,,,,,,13.4,61.0,29.2,,,26.7,23.5,21.1,,88.5475651189128,,11.4524348810872,,,1.02669404517454,13.8522427440633,,,2.82278610007133,22.3
avondale,,,,,,,0.0,60.9,14.4,,,29.4,17.6,21.2,,72.2634472682533,,27.7365527317467,,,32.804681304859,9.59893836626364,,,36.7060245210342,7.8
belmont-cragin,,,,,,,0.7,58.9,21.8,,,31.0,19.2,20.8,,62.790988214717,,37.209011785283,,,38.5985862329284,18.1024179461249,,,38.5923494508269,12.3
beverly,,,,,,,7.7,61.6,3.8,,,2.7,5.3,4.5,,96.5723115824963,,3.42768841750369,,,1.60983387337345,4.4981313400961,,,3.1755945231804,7.2
