location,colorectal-cancer-screening,health-care-satisfaction,hiv-viral-suppression,cervical-cancer-screening,preventable-hospitalizations,adult-flu-vaccine,breast-cancer-screening,children-aged-19-35-months-with-up-to-date-immunizations,hpv-vaccination,received-needed-care,early-intervention-services,engagement-in-hiv-care,prenatal-care-in-first-trimester,no-health-insurance,annual-dental-cleaning,dental-care-emergencies,early-and-adequate-prenatal-care,school-based-health-services---dental,school-based-health-services---vision,school-based-health-services---sti-screening,avoidable-ed-visits,primary-care-provider,routine-checkup
albany-park,,,,,,,,,,,,,,,,,,,,,,,
archer-heights,,,,,,,,,,,,,,,,,,,,,,,
armour-square,,,,,,,,,,,,,,,,,,,,,,,
ashburn,,,,,,,,,,,,,,,,,,,,,,,
auburn-gresham,,,,,,,,,,,,,,,,,,,,,,,
austin,,,,,,,,,,,,,,,,,,,,,,,
avalon-park,,,,,,,,,,,,,,,,,,,,,,,
avondale,,,,,,,,,,,,,,,,,,,,,,,
belmont-cragin,,,,,,,,,,,,,,,,,,,,,,,
beverly,,,,,,,,,,,,,,,,,,,,,,,
bridgeport,,,,,,,,,,,,,,,,,,,,,,,
brighton-park,,,,,,,,,,,,,,,,,,,,,,,
burnside,,,,,,,,,,,,,,,,,,,,,,,
calumet-heights,,,,,,,,,,,,,,,,,,,,,,,
chatham,,,,,,,,,,,,,,,,,,,,,,,
chicago-lawn,,,,,,,,,,,,,,,,,,,,,,,
clearing,,,,,,,,,,,,,,,,,,,,,,,
douglas,,,,,,,,,,,,,,,,,,,,,,,
dunning,,,,,,,,,,,,,,,,,,,,,,,
east-garfield-park,,,,,,,,,,,,,,,,,,,,,,,
east-side,,,,,,,,,,,,,,,,,,,,,,,
edgewater,,,,,,,,,,,,,,,,,,,,,,,
edison-park,,,,,,,,,,,,,,,,,,,,,,,
englewood,,,,,,,,,,,,,,,,,,,,,,,
forest-glen,,,,,,,,,,,,,,,,,,,,,,,
fuller-park,,,,,,,,,,,,,,,,,,,,,,,
gage-park,,,,,,,,,,,,,,,,,,,,,,,
garfield-ridge,,,,,,,,,,,,,,,,,,,,,,,
grand-boulevard,,,,,,,,,,,,,,,,,,,,,,,
greater-grand-crossing,,,,,,,,,,,,,,,,,,,,,,,
hegewisch,,,,,,,,,,,,,,,,,,,,,,,
hermosa,,,,,,,,,,,,,,,,,,,,,,,
humboldt-park,,,,,,,,,,,,,,,,,,,,,,,
hyde-park,,,,,,,,,,,,,,,,,,,,,,,
irving-park,,,,,,,,,,,,,,,,,,,,,,,
jefferson-park,,,,,,,,,,,,,,,,,,,,,,,
kenwood,,,,,,,,,,,,,,,,,,,,,,,
lake-view,,,,,,,,,,,,,,,,,,,,,,,
lincoln-park,,,,,,,,,,,,,,,,,,,,,,,
lincoln-square,,,,,,,,,,,,,,,,,,,,,,,
logan-square,,,,,,,,,,,,,,,,,,,,,,,
loop,,,,,,,,,,,,,,,,,,,,,,,
lower-west-side,,,,,,,,,,,,,,,,,,,,,,,
mckinley-park,,,,,,,,,,,,,,,,,,,,,,,
montclare,,,,,,,,,,,,,,,,,,,,,,,
morgan-park,,,,,,,,,,,,,,,,,,,,,,,
mount-greenwood,,,,,,,,,,,,,,,,,,,,,,,
near-north-side,,,,,,,,,,,,,,,,,,,,,,,
near-south-side,,,,,,,,,,,,,,,,,,,,,,,
near-west-side,,,,,,,,,,,,,,,,,,,,,,,
new-city,,,,,,,,,,,,,,,,,,,,,,,
north-center,,,,,,,,,,,,,,,,,,,,,,,
north-lawndale,,,,,,,,,,,,,,,,,,,,,,,
north-park,,,,,,,,,,,,,,,,,,,,,,,
norwood-park,,,,,,,,,,,,,,,,,,,,,,,
oakland,,,,,,,,,,,,,,,,,,,,,,,
ohare,,,,,,,,,,,,,,,,,,,,,,,
portage-park,,,,,,,,,,,,,,,,,,,,,,,
pullman,,,,,,,,,,,,,,,,,,,,,,,
riverdale,,,,,,,,,,,,,,,,,,,,,,,
rogers-park,,,,,,,,,,,,,,,,,,,,,,,
roseland,,,,,,,,,,,,,,,,,,,,,,,
south-chicago,,,,,,,,,,,,,,,,,,,,,,,
south-deering,,,,,,,,,,,,,,,,,,,,,,,
south-lawndale,,,,,,,,,,,,,,,,,,,,,,,
south-shore,,,,,,,,,,,,,,,,,,,,,,,
uptown,,,,,,,,,,,,,,,,,,,,,,,
washington-heights,,,,,,,,,,,,,,,,,,,,,,,
washington-park,,,,,,,,,,,,,,,,,,,,,,,
west-elsdon,,,,,,,,,,,,,,,,,,,,,,,
west-englewood,,,,,,,,,,,,,,,,,,,,,,,
west-garfield-park,,,,,,,,,,,,,,,,,,,,,,,
west-lawn,,,,,,,,,,,,,,,,,,,,,,,
west-pullman,,,,,,,,,,,,,,,,,,,,,,,
west-ridge,,,,,,,,,,,,,,,,,,,,,,,
west-town,,,,,,,,,,,,,,,,,,,,,,,
woodlawn,,,,,,,,,,,,,,,,,,,,,,,
