location,female-population,male-population,non-hispanic-white,hispanic-or-latino,non-hispanic-african-american-or-black,non-hispanic-asian-or-pacific-islander,total-population,male-population
albany-park,48.9,51.1,29.5,48.0,4.3,15.9,,51.1
archer-heights,52.0,48.0,19.4,76.2,0.9,2.9,,48.0
armour-square,48.9,51.1,10.9,3.0,9.6,73.9,,51.1
ashburn,51.1,48.9,13.0,36.2,48.7,0.7,,48.9
auburn-gresham,56.8,43.2,0.5,1.5,96.9,0.3,,43.2
austin,54.0,46.0,4.5,11.4,83.0,0.5,,46.0
avalon-park,56.4,43.6,0.5,0.6,97.4,0.6,,43.6
avondale,49.7,50.3,31.0,61.8,2.1,3.3,,50.3
belmont-cragin,51.2,48.8,14.3,80.0,3.1,1.5,,48.8
beverly,52.1,47.9,55.7,6.8,34.9,0.5,,47.9
bridgeport,49.6,50.4,31.9,28.2,2.8,34.6,,50.4
brighton-park,48.6,51.4,6.4,85.1,1.5,6.7,,51.4
burnside,47.2,52.8,0.0,0.0,100.0,0.0,,52.8
calumet-heights,57.0,43.0,2.2,3.2,93.5,0.0,,43.0
chatham,56.4,43.6,1.2,0.9,96.6,0.4,,43.6
chicago-lawn,52.9,47.1,3.4,47.5,47.0,1.0,,47.1
clearing,52.8,47.2,47.6,49.5,0.6,1.3,,47.2
douglas,56.7,43.3,10.7,2.4,70.7,14.4,,43.3
dunning,50.5,49.5,65.9,26.6,2.4,4.2,,49.5
east-garfield-park,52.8,47.2,4.2,3.5,91.3,0.3,,47.2
east-side,51.3,48.7,17.0,79.7,2.9,0.1,,48.7
edgewater,48.9,51.1,54.5,16.3,14.3,11.6,,51.1
edison-park,51.7,48.3,87.4,9.4,1.1,1.5,,48.3
englewood,54.5,45.5,0.8,2.6,95.0,0.3,,45.5
forest-glen,52.2,47.8,71.8,12.0,1.0,13.4,,47.8
fuller-park,50.3,49.7,1.5,6.2,92.3,0.0,,49.7
gage-park,48.6,51.4,3.5,92.3,3.3,0.8,,51.4
garfield-ridge,50.6,49.4,47.3,46.6,4.1,1.2,,49.4
grand-boulevard,56.9,43.1,3.2,2.5,90.7,0.5,,43.1
greater-grand-crossing,55.9,44.1,1.4,1.1,96.1,0.1,,44.1
hegewisch,46.4,53.6,45.6,47.4,6.3,0.0,,53.6
hermosa,48.8,51.2,7.4,88.2,1.5,1.4,,51.2
humboldt-park,51.5,48.5,5.4,52.0,40.9,0.5,,48.5
hyde-park,51.7,48.3,46.8,7.0,29.9,12.1,,48.3
irving-park,49.7,50.3,40.1,46.6,2.2,8.2,,50.3
jefferson-park,51.4,48.6,65.1,22.8,0.9,9.0,,48.6
kenwood,52.3,47.7,16.9,3.8,67.7,8.6,,47.7
lake-view,50.3,49.7,79.6,7.3,3.5,6.9,,49.7
lincoln-park,50.5,49.5,80.2,6.6,4.8,5.7,,49.5
lincoln-square,49.9,50.1,64.8,17.6,3.4,11.0,,50.1
logan-square,49.3,50.7,44.0,46.5,4.6,2.8,,50.7
loop,51.5,48.5,60.9,6.4,12.4,17.2,,48.5
lower-west-side,48.0,52.0,13.4,80.5,3.2,1.7,,52.0
mckinley-park,50.6,49.4,17.2,58.8,3.1,19.2,,49.4
montclare,,,,,,,,
morgan-park,54.3,45.7,34.8,8.3,54.6,0.3,,45.7
mount-greenwood,51.6,48.4,86.7,6.4,3.5,2.0,,48.4
near-north-side,54.3,45.7,71.6,5.3,9.2,11.3,,45.7
near-south-side,51.5,48.5,46.4,6.2,24.0,19.9,,48.5
near-west-side,50.7,49.3,41.9,10.0,30.4,15.6,,49.3
new-city,50.4,49.6,12.4,60.8,23.9,2.0,,49.6
north-center,49.8,50.2,76.0,14.4,1.9,4.3,,50.2
north-lawndale,54.6,45.4,2.3,7.0,89.0,0.3,,45.4
north-park,50.5,49.5,50.7,19.7,2.6,24.6,,49.5
norwood-park,51.3,48.7,81.5,11.5,0.8,4.2,,48.7
oakland,59.7,40.3,2.2,3.3,92.6,1.7,,40.3
ohare,49.9,50.1,69.8,17.2,0.9,9.3,,50.1
portage-park,49.9,50.1,50.3,41.8,1.3,4.5,,50.1
pullman,57.4,42.6,7.1,8.5,82.8,0.5,,42.6
riverdale,56.6,43.4,1.1,3.9,94.2,0.4,,43.4
rogers-park,50.2,49.8,41.9,24.1,24.5,6.4,,49.8
roseland,55.7,44.3,1.3,1.1,96.1,0.4,,44.3
south-chicago,54.9,45.1,2.8,21.7,74.1,0.4,,45.1
south-deering,54.8,45.2,3.9,29.9,65.1,0.1,,45.2
south-lawndale,44.4,55.6,3.1,85.2,11.1,0.2,,55.6
south-shore,57.3,42.7,2.2,1.6,93.6,0.2,,42.7
uptown,48.7,51.3,55.1,11.6,20.8,8.8,,51.3
washington-heights,56.6,43.4,1.3,1.1,95.8,0.0,,43.4
washington-park,58.4,41.6,0.4,1.3,96.0,0.1,,41.6
west-elsdon,49.9,50.1,16.9,80.2,1.4,1.6,,50.1
west-englewood,52.5,47.5,0.7,4.9,93.2,0.1,,47.5
west-garfield-park,53.3,46.7,1.8,2.0,95.6,0.3,,46.7
west-lawn,49.3,50.7,15.2,80.6,3.3,0.5,,50.7
west-pullman,55.2,44.8,1.5,4.4,93.4,0.2,,44.8
west-ridge,49.7,50.3,44.3,17.5,11.2,23.4,,50.3
west-town,48.8,51.2,58.3,27.2,7.6,4.0,,51.2
woodlawn,56.0,44.0,7.1,2.6,85.3,3.1,,44.0
