location,diabetes-related-lower-extremity-amputation-hospitalizations,female-breast-cancer-incidence,colorectal-cancer-incidence,prostate-cancer-incidence,lung-cancer-incidence,lung-cancer-incidence,late-stage-female-breast-cancer-incidence,child-obesity,asthma,diabetes,hypertension,diabetes-related-hospitalizations,adult-obesity,asthma-ed-visits-(0-4-years),asthma-ed-visits-(0-18-years),asthma-ed-visits-(65+-years),cancer-incidence,cervical-cancer-incidence,schizophrenic-disorder-hospitalizations,serious-psychological-distress,youth-depression,youth-suicide-attempts,drug-related-hospitalizations,alcohol-related-hospitalizations,behavioral-health-hospitalizations,behavioral-health-treatment,mood-and-depressive-disorder-hospitalizations,crude-birth-rate,general-fertility-rate,total-fertility-rate,twin-birth-rate,very-low-birthweight,lead-poisoning,very-low-birthweight,cesarean-delivery,mean-age-at-first-birth,preterm-births,hiv-incidence,linkage-to-hiv-care,tuberculosis,varicella,chlamydia,gonorrhea,hiv-prevalence,pertussis,syphilis,have-a-disability,overall-health-status,non-fatal-shootings,sexual-assault,serious-traffic-crash-injuries
albany-park,,70.7,34.8,61.2,,,27.0,,,,,,,,,,299.0,13.5,,,,,,,,,,16.2,67.3,1918.1,26.1,,22.6,,,,,25.2221489270886,,25.2,,232.8,38.8,335.648597260487,,,,,,,
archer-heights,,69.5,32.9,76.9,,,,,,,,,,,,,334.5,9.1,,,,,,,,,,17.2,75.5,2193.6,21.7,,18.1,,,,,0.0,,7.5,,283.7,44.8,89.5990442768611,,,,,,,
armour-square,,115.5,77.8,,,,,,,,,,,,,,510.6,8.7,,,,,,,,,,12.0,59.4,1801.9,27.4,,0.0,,,,,,,14.9,,358.4,97.1,179.224852512882,,0.0,,,,,
ashburn,,129.1,52.1,166.7,,,50.5,,,,,,,,,,487.1,12.2,,,,,,,,,,12.0,56.5,1787.7,31.2,,8.6,,,,,,,2.4,,727.8,202.0,182.566149801611,,,,,,,
auburn-gresham,,140.2,77.3,208.4,,,70.8,,,,,,,,,,621.9,19.7,,,,,,,,,,13.0,60.9,1833.6,44.2,,42.4,,,,,57.4441458260673,,4.1,,1672.0,636.0,527.255195617832,,14.4,,,,,
austin,,116.2,58.2,174.6,,,65.8,,,,,,,,,,525.1,10.8,,,,,,,,,,15.8,70.5,2061.3,30.1,,50.7,,,,,39.5882818685669,,2.0,,1769.3,587.7,552.205777858984,,55.8,,,,,
avalon-park,,225.5,51.0,297.3,,,107.6,,,,,,,,,,730.4,20.8,,,,,,,,,,10.4,54.8,530.0,30.2,,64.9,,,,,,,9.8,,1099.7,284.7,569.464899361807,,,,,,,
avondale,,69.9,30.5,56.6,,,35.4,,,,,,,,,,263.8,6.3,,,,,,,,,,16.1,67.1,1891.5,29.5,,33.5,,,,,15.2819520146707,,22.9,,354.0,38.2,328.561968315419,,12.7,,,,,
belmont-cragin,,57.2,30.7,68.2,,,38.8,,,,,,,,,,284.8,11.8,,,,,,,,,,16.8,74.6,2188.4,24.3,,15.4,,,,,16.5094040105152,,8.9,,384.8,57.1,227.321793683248,,,,,,,
beverly,,198.1,34.9,223.5,,,68.6,,,,,,,,,,541.9,3.8,,,,,,,,,,10.8,60.0,1923.8,60.3,,12.7,,,,,,,0.0,,359.4,94.8,149.745432764301,,,,,,,
bridgeport,,82.4,40.0,67.5,,,46.2,,,,,,,,,,352.1,7.5,,,,,,,,,,13.0,57.5,1678.7,30.3,,2.0,,,,,,,6.3,,209.5,34.4,165.744128592426,,,,,,,
brighton-park,,54.6,23.8,52.2,,,34.6,,,,,,,,,,215.6,10.0,,,,,,,,,,17.2,75.8,2230.1,23.5,,21.1,,,,,17.6335743255158,,11.0,,405.6,26.5,196.173514371363,,11.0,,,,,
burnside,,,,,,,,,,,,,,,,,665.1,12.2,,,,,,,,,,11.2,56.3,1724.7,85.9,,54.1,,,,,,,0.0,,2057.6,548.7,548.696844993141,,0.0,,,,,
calumet-heights,,257.1,86.6,230.7,,,88.3,,,,,,,,,,757.7,10.4,,,,,,,,,,8.9,51.9,1685.4,49.0,,31.1,,,,,36.200405444541,,7.2,,970.2,354.8,441.6449464234,,,,,,,
chatham,,153.7,77.7,221.5,,,76.9,,,,,,,,,,637.1,10.2,,,,,,,,,,12.9,64.8,1993.1,36.4,,17.2,,,,,64.4579089854325,,16.1,,1360.1,467.3,828.284130462808,,48.3,,,,,
chicago-lawn,,64.2,31.6,106.2,,,38.6,,,,,,,,,,296.9,11.7,,,,,,,,,,17.4,73.9,2157.7,32.1,,36.3,,,,,23.3695261379162,,3.6,,1270.9,422.4,323.578054217301,,23.4,,,,,
clearing,,98.1,51.9,76.2,,,47.3,,,,,,,,,,496.1,6.8,,,,,,,,,,13.0,60.3,1755.3,23.3,,24.1,,,,,,,0.0,,207.4,,108.042698474437,,,,,,,
douglas,,139.1,58.7,181.6,,,62.5,,,,,,,,,,546.2,4.0,,,,,,,,,,12.9,53.0,1496.4,41.7,,7.4,,,,,38.3814014694594,,0.0,,915.7,296.1,756.661914683628,,,,,,,
dunning,,127.8,68.2,116.1,,,52.3,,,,,,,,,,581.6,9.3,,,,,,,,,,11.6,60.2,1751.2,42.2,,2.4,,,,,,,0.0,,109.7,11.9,109.701421348851,,,,,,,
east-garfield-park,,77.9,59.3,132.1,,,38.1,,,,,,,,,,456.2,18.1,,,,,,,,,,17.2,71.6,2103.8,44.0,,30.4,,,,,43.7594204307872,,0.0,,1954.6,573.7,811.980356882384,,38.9,,,,,
east-side,,63.5,32.1,87.8,,,,,,,,,,,,,433.7,12.0,,,,,,,,,,15.3,74.7,2229.5,22.2,,24.8,,,,,,,4.3,,308.1,52.1,117.177328356913,,,,,,,
edgewater,,112.5,49.1,101.8,,,55.2,,,,,,,,,,463.7,7.3,,,,,,,,,,11.4,45.3,1278.3,39.3,,16.5,,,,,93.7704569982838,,5.3,,286.6,139.8,1732.09957360981,,76.1,,,,,
edison-park,,168.3,60.8,130.5,,,,,,,,,,,,,779.3,3.4,,,,,,,,,,11.4,59.4,1716.7,54.8,,0.0,,,,,0.0,,0.0,,44.7,,80.450522928399,,0.0,,,,,
englewood,,96.6,51.2,141.3,,,57.7,,,,,,,,,,496.5,18.8,,,,,,,,,,17.5,74.5,2110.9,33.9,,69.5,,,,,71.7687740588504,,6.5,,2316.2,978.7,662.230051543029,,84.8,,,,,
forest-glen,,160.9,58.4,125.4,,,89.9,,,,,,,,,,634.7,2.1,,,,,,,,,,10.5,63.7,2023.3,60.8,,10.4,,,,,,,0.0,,64.8,,129.673654635833,,,,,,,
fuller-park,,,,,,,,,,,,,,,,,607.7,13.4,,,,,,,,,,15.4,77.5,221.0,27.1,,61.5,,,,,,,0.0,,1529.9,625.9,730.180806675939,,,,,,,
gage-park,,33.0,24.1,57.7,,,24.7,,,,,,,,,,224.7,7.2,,,,,,,,,,18.1,77.3,2311.8,16.6,,27.3,,,,,15.0398556173861,,5.0,,526.4,47.6,167.945054394145,,,,,,,
garfield-ridge,,133.0,63.1,147.6,,,64.2,,,,,,,,,,654.4,13.5,,,,,,,,,,12.2,63.4,1897.6,31.2,,4.7,,,,,,,0.0,,217.3,40.6,84.026308927071,,,,,,,
grand-boulevard,,116.5,66.2,170.3,,,71.8,,,,,,,,,,456.5,11.2,,,,,,,,,,15.2,61.2,1928.3,56.4,,17.8,,,,,54.7220575493639,,22.8,,1527.7,478.8,943.955492726527,,68.4,,,,,
greater-grand-crossing,,116.7,55.0,159.8,,,60.0,,,,,,,,,,619.3,15.3,,,,,,,,,,16.2,73.1,2113.2,38.6,,45.2,,,,,58.2786332126863,,3.1,,1852.6,631.9,766.824121219557,,33.7,,,,,
hegewisch,,,82.7,132.0,,,,,,,,,,,,,597.8,16.9,,,,,,,,,,11.7,62.5,1908.8,54.5,,7.4,,,,,,,10.6,,137.9,,74.2626776999788,,0.0,,,,,
hermosa,,67.4,27.1,65.2,,,38.5,,,,,,,,,,226.6,4.8,,,,,,,,,,16.5,70.8,2055.9,17.9,,29.0,,,,,,,12.0,,375.8,56.0,295.881647341064,,,,,,,
humboldt-park,,64.5,32.2,100.1,,,43.2,,,,,,,,,,310.7,14.4,,,,,,,,,,17.5,73.4,2100.1,21.1,,39.5,,,,,47.9377874047902,,5.3,,1202.0,367.5,671.129023667063,,28.4,,,,,
hyde-park,,160.0,30.3,153.2,,,45.9,,,,,,,,,,450.0,1.5,,,,,,,,,,10.1,35.0,1151.9,43.2,,0.0,,,,,23.363576184728,,3.9,,350.5,128.5,416.650441960983,,27.3,,,,,
irving-park,,103.2,40.4,62.9,,,47.1,,,,,,,,,,348.6,9.0,,,,,,,,,,16.0,68.0,1926.4,38.6,,11.0,,,,,11.2445885417643,,7.5,,294.2,61.8,312.974381079106,,,,,,,
jefferson-park,,138.3,47.1,117.1,,,45.6,,,,,,,,,,604.4,4.6,,,,,,,,,,13.1,64.3,1844.5,52.9,,7.5,,,,,,,0.0,,114.0,,125.746620559572,,,,,,,
kenwood,,185.8,56.0,154.8,,,70.4,,,,,,,,,,607.2,9.8,,,,,,,,,,11.5,47.8,1026.0,48.7,,6.9,,,,,61.6557367860546,,0.0,,767.9,257.8,700.633372568802,,,,,,,
lake-view,,108.9,24.6,68.9,,,32.1,,,,,,,,,,303.6,3.8,,,,,,,,,,14.5,41.2,1317.7,59.1,,4.2,,,,,65.7002373685995,,4.2,,226.8,125.0,814.89487962021,,59.3,,,,,
lincoln-park,,131.9,24.3,99.2,,,35.6,,,,,,,,,,346.1,1.8,,,,,,,,,,13.5,39.3,1399.4,66.2,,1.5,,,,,18.7160771102377,,1.6,,180.9,54.6,215.234886767734,,18.7,,,,,
lincoln-square,,101.8,42.9,80.6,,,35.6,,,,,,,,,,367.0,10.9,,,,,,,,,,17.2,60.9,1577.4,57.0,,20.1,,,,,35.4493201326817,,5.1,,205.1,60.8,389.942521459499,,15.2,,,,,
logan-square,,75.4,26.3,56.9,,,23.3,,,,,,,,,,248.3,7.8,,,,,,,,,,17.6,60.9,1724.2,40.2,,17.5,,,,,37.0924976988913,,5.4,,411.7,92.4,379.167754255334,,21.7,,,,,
loop,,121.2,28.9,111.6,,,46.3,,,,,,,,,,438.5,5.4,,,,,,,,,,12.9,37.5,1355.3,58.7,,3.1,,,,,20.4897039237783,,13.7,,300.5,82.0,293.685756240822,,,,,,,
lower-west-side,,41.1,15.0,50.7,,,27.0,,,,,,,,,,220.1,9.4,,,,,,,,,,14.5,59.8,1693.4,27.7,,23.3,,,,,16.7743017696888,,14.0,,517.2,61.5,282.367413123095,,,,,,,
mckinley-park,,61.6,30.7,61.3,,,,,,,,,,,,,290.8,10.3,,,,,,,,,,16.0,70.4,2033.1,17.6,,21.7,,,,,,,6.4,,358.7,57.6,140.917243146298,,0.0,,,,,
montclare,,90.8,61.1,109.4,,,,,,,,,,,,,466.7,11.7,,,,,,,,,,13.5,66.0,1930.1,17.7,,23.0,,,,,,,,,,,,,,,,,,
morgan-park,,197.4,58.4,209.1,,,84.1,,,,,,,,,,608.9,11.3,,,,,,,,,,11.6,59.8,1952.2,38.9,,9.1,,,,,31.0503903477644,,4.4,,896.0,261.7,350.425833924769,,22.2,,,,,
mount-greenwood,,119.7,46.1,138.4,,,37.1,,,,,,,,,,502.5,2.1,,,,,,,,,,12.5,58.9,1957.2,45.4,,0.0,,,,,,,0.0,,94.3,,31.4251296286597,,,,,,,
near-north-side,,203.0,37.1,129.9,,,46.9,,,,,,,,,,547.7,6.5,,,,,,,,,,12.0,39.4,1207.0,68.8,,6.0,,,,,22.3646936036976,,1.2,,334.2,90.7,316.833159385716,,14.9,,,,,
near-south-side,,115.2,33.1,99.6,,,43.2,,,,,,,,,,437.6,12.6,,,,,,,,,,20.8,69.8,1716.1,56.6,,0.0,,,,,32.7255726975222,,9.4,,336.6,88.8,374.00654511454,,23.4,,,,,
near-west-side,,97.0,34.0,86.3,,,44.6,,,,,,,,,,366.2,8.6,,,,,,,,,,18.7,56.3,1602.3,45.8,,10.3,,,,,34.6203604161732,,5.5,,978.5,253.3,497.439915453436,,32.8,,,,,
new-city,,54.4,35.5,65.0,,,29.0,,,,,,,,,,291.2,16.3,,,,,,,,,,18.6,81.1,2393.0,29.7,,50.4,,,,,27.0410347702639,,11.3,,991.5,383.1,301.95822160128,,13.5,,,,,
