location,diabetes-related-lower-extremity-amputation-hospitalizations,female-breast-cancer-incidence,colorectal-cancer-incidence,prostate-cancer-incidence,lung-cancer-incidence,lung-cancer-incidence,late-stage-female-breast-cancer-incidence,child-obesity,asthma,diabetes,hypertension,diabetes-related-hospitalizations,adult-obesity,asthma-ed-visits-(0-4-years),asthma-ed-visits-(0-18-years),asthma-ed-visits-(65+-years),cancer-incidence,cervical-cancer-incidence,schizophrenic-disorder-hospitalizations,serious-psychological-distress,youth-depression,youth-suicide-attempts,drug-related-hospitalizations,alcohol-related-hospitalizations,behavioral-health-hospitalizations,behavioral-health-treatment,mood-and-depressive-disorder-hospitalizations,crude-birth-rate,general-fertility-rate,total-fertility-rate,twin-birth-rate,very-low-birthweight,lead-poisoning,very-low-birthweight,cesarean-delivery,mean-age-at-first-birth,preterm-births,hiv-incidence,linkage-to-hiv-care,tuberculosis,varicella,chlamydia,gonorrhea,hiv-prevalence,pertussis,syphilis,have-a-disability,overall-health-status,non-fatal-shootings,sexual-assault,serious-traffic-crash-injuries
albany-park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,1.2,19.45946,,8.6,,100.0,,,,,,,,9.4,,,,
archer-heights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,1.6,16.21622,,8.1,,0.0,,,,,,,,7.5,,,,
armour-square,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,1.7,23.46626,,9.6,,,,,,,,,,10.9,,,,
ashburn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,,1.9,19.71678,,11.2,,87.5,,,,,,,,9.6,,,,
auburn-gresham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,,3.6,21.02804,,14.7,,77.2727272727273,,,,,,,,16.4,,,,
austin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,,2.9,17.0911,,13.4,,78.125,,,,,,,,16.8,,,,
avalon-park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,3.0,23.42569,,13.4,,,,,,,,,,16.8,,,,
avondale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,1.6,20.17011,,8.9,,83.3333333333333,,,,,,,,8.4,,,,
belmont-cragin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,1.6,17.15965,,9.5,,85.7142857142857,,,,,,,,8.9,,,,
beverly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,2.7,20.7947,,10.9,,0.0,,,,,,,,7.5,,,,
