location,opioid-overdose,suicide,drug-overdose-deaths,drug-induced-deaths,chronic-liver-disease-and-cirrhosis-deaths,alcohol-induced-deaths,opioid-related-overdose-deaths,cancer-deaths,lung-cancer-deaths,heart-disease-deaths,diabetes-deaths,coronary-heart-disease-deaths,colorectal-cancer-deaths,chronic-lower-respiratory-disease-deaths,alzheimers-disease-deaths,female-breast-cancer-deaths,diet-related-deaths,stroke-deaths,tobacco-related-deaths,prostate-cancer-deaths,nephritis-nephrotic-syndrome-and-nephrosis-deaths,cervical-cancer-deaths,traffic-crash-fatalities,firearm-related-homicides-by-injury-location,motor-vehicle-crash-deaths,injury-deaths,homicides,firearm-related-homicides,accidents,infant-mortality,influenza-and-pneumonia-deaths,years-of-potential-life-lost-(ypll),life-expectancy
albany-park,,4.0,3.0,3.0,5.0,2.0,,58.0,13.0,58.0,11.0,39.0,8.0,10.0,4.0,3.0,100.0,15.0,78.0,2.0,5.0,2.0,,2.8,3.0,18.0,3.0,3.0,11.0,3.8,7.0,2688.0,
archer-heights,,0.0,1.0,1.0,2.0,1.0,,14.0,1.0,20.0,2.0,15.0,1.0,3.0,2.0,1.0,33.0,5.0,16.0,1.0,2.0,0.0,,0.8,0.0,4.0,0.0,0.0,3.0,1.4,2.0,607.0,
armour-square,,1.0,1.0,1.0,1.0,0.0,,31.0,10.0,26.0,2.0,15.0,4.0,5.0,1.0,2.0,46.0,8.0,42.0,0.0,3.0,1.0,,0.8,1.0,3.0,1.0,0.0,2.0,1.0,4.0,640.0,
ashburn,,2.0,2.0,2.0,3.0,2.0,,75.0,17.0,71.0,9.0,44.0,10.0,14.0,8.0,8.0,125.0,15.0,89.0,4.0,9.0,1.0,,6.2,3.0,18.0,8.0,7.0,9.0,3.6,5.0,2811.0,
auburn-gresham,,2.0,7.0,7.0,6.0,4.0,,135.0,36.0,145.0,15.0,79.0,17.0,14.0,9.0,11.0,234.0,30.0,167.0,12.0,19.0,3.0,,16.8,4.0,40.0,20.0,18.0,17.0,8.8,12.0,5984.0,
austin,,5.0,20.0,22.0,7.0,5.0,,226.0,62.0,226.0,27.0,119.0,23.0,26.0,15.0,17.0,360.0,46.0,270.0,16.0,22.0,3.0,,27.4,12.0,79.0,32.0,27.0,41.0,15.0,16.0,12021.0,
avalon-park,,1.0,1.0,1.0,1.0,0.0,,28.0,5.0,32.0,5.0,18.0,3.0,3.0,3.0,2.0,53.0,6.0,36.0,2.0,2.0,1.0,,2.6,1.0,6.0,3.0,2.0,3.0,2.6,2.0,1180.0,
avondale,,2.0,3.0,4.0,4.0,5.0,,41.0,9.0,48.0,5.0,29.0,3.0,6.0,4.0,3.0,74.0,7.0,51.0,2.0,5.0,0.0,,1.2,4.0,13.0,2.0,2.0,8.0,3.4,3.0,2047.0,
belmont-cragin,,6.0,7.0,7.0,8.0,4.0,,78.0,17.0,98.0,11.0,67.0,7.0,8.0,5.0,6.0,146.0,14.0,91.0,3.0,8.0,1.0,,4.2,6.0,29.0,5.0,4.0,17.0,8.4,6.0,4208.0,
beverly,,2.0,1.0,1.0,2.0,1.0,,39.0,9.0,40.0,3.0,22.0,3.0,5.0,4.0,3.0,61.0,8.0,45.0,3.0,4.0,0.0,,1.2,1.0,7.0,1.0,1.0,4.0,1.4,2.0,1178.0,
