location,opioid-overdose,suicide,drug-overdose-deaths,drug-induced-deaths,chronic-liver-disease-and-cirrhosis-deaths,alcohol-induced-deaths,opioid-related-overdose-deaths,cancer-deaths,lung-cancer-deaths,heart-disease-deaths,diabetes-deaths,coronary-heart-disease-deaths,colorectal-cancer-deaths,chronic-lower-respiratory-disease-deaths,alzheimers-disease-deaths,female-breast-cancer-deaths,diet-related-deaths,stroke-deaths,tobacco-related-deaths,prostate-cancer-deaths,nephritis-nephrotic-syndrome-and-nephrosis-deaths,cervical-cancer-deaths,traffic-crash-fatalities,firearm-related-homicides-by-injury-location,motor-vehicle-crash-deaths,injury-deaths,homicides,firearm-related-homicides,accidents,infant-mortality,influenza-and-pneumonia-deaths,years-of-potential-life-lost-(ypll),life-expectancy
albany-park,,8.5,5.8,5.8,9.3,4.7,,112.1,24.8,112.5,21.0,74.9,16.3,19.4,8.5,13.5,194.8,29.1,152.1,3.9,10.5,6.4,,,4.9,35.7,5.8,5.0,21.0,4.6,13.6,5405.0,
archer-heights,,3.0,6.0,6.0,11.9,10.5,,107.5,10.5,150.8,13.4,110.5,9.0,20.9,13.4,21.1,243.4,37.3,122.5,6.0,14.9,0.0,,,1.5,31.4,3.0,3.0,25.4,6.1,11.9,4750.0,
armour-square,,4.5,4.5,6.0,7.5,1.5,,230.0,76.2,197.1,13.4,112.0,31.4,38.8,9.0,23.1,345.0,59.7,315.1,1.5,25.4,14.4,,,7.5,23.9,4.5,3.0,14.9,6.2,28.4,5297.0,
ashburn,,4.9,5.4,5.4,8.3,4.9,,182.6,41.4,172.8,22.4,106.1,24.3,33.1,19.0,35.5,304.8,37.5,217.1,10.7,22.4,3.7,,,7.3,44.3,18.5,18.0,20.9,7.3,13.1,7180.0,
auburn-gresham,,4.1,14.4,14.8,11.5,7.4,14.4,277.8,73.0,297.1,30.4,161.3,34.5,29.1,18.1,40.3,480.9,62.0,342.6,23.8,38.2,9.5,,,7.4,81.2,40.2,37.3,35.7,13.9,25.0,13194.0,
austin,,5.3,20.7,22.3,7.3,5.1,31.5,229.8,63.1,229.0,27.8,120.6,23.8,26.8,15.0,32.3,365.0,46.5,273.7,16.4,22.3,6.0,,,11.5,80.6,32.5,27.0,41.6,9.6,16.0,12719.0,
avalon-park,,5.9,5.9,5.9,9.8,2.0,,276.9,45.2,314.2,47.1,176.7,27.5,33.4,25.5,34.8,522.3,55.0,353.5,19.6,19.6,13.9,,,7.9,60.9,27.5,23.6,25.5,24.5,23.6,12691.0,
avondale,,4.6,8.7,9.2,9.2,11.7,,103.4,22.4,123.3,12.2,74.9,8.7,14.3,10.2,13.6,187.5,18.8,130.9,4.1,12.2,2.1,,,10.4,32.1,6.1,4.6,21.4,5.4,6.6,5380.0,
belmont-cragin,,7.4,8.6,8.6,10.2,5.1,14.0,99.6,21.6,123.9,13.7,84.6,9.4,9.9,6.6,14.3,185.9,17.8,115.6,4.3,10.2,1.5,,,8.1,36.3,6.6,5.3,21.6,6.3,7.4,5507.0,
beverly,,11.0,6.0,6.0,9.0,4.0,,195.7,45.9,199.7,16.0,110.8,13.0,23.0,18.0,32.5,306.5,39.9,222.6,14.0,19.0,3.8,,,6.0,36.9,7.0,6.0,19.0,6.5,12.0,6207.0,
