location,opioid-overdose,suicide,drug-overdose-deaths,drug-induced-deaths,chronic-liver-disease-and-cirrhosis-deaths,alcohol-induced-deaths,opioid-related-overdose-deaths,cancer-deaths,lung-cancer-deaths,heart-disease-deaths,diabetes-deaths,coronary-heart-disease-deaths,colorectal-cancer-deaths,chronic-lower-respiratory-disease-deaths,alzheimers-disease-deaths,female-breast-cancer-deaths,diet-related-deaths,stroke-deaths,tobacco-related-deaths,prostate-cancer-deaths,nephritis-nephrotic-syndrome-and-nephrosis-deaths,cervical-cancer-deaths,traffic-crash-fatalities,firearm-related-homicides-by-injury-location,motor-vehicle-crash-deaths,injury-deaths,homicides,firearm-related-homicides,accidents,infant-mortality,influenza-and-pneumonia-deaths,years-of-potential-life-lost-(ypll),life-expectancy
albany-park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
archer-heights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
armour-square,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ashburn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
auburn-gresham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
austin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avalon-park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avondale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
belmont-cragin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beverly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bridgeport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brighton-park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
burnside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calumet-heights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chatham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chicago-lawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clearing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
douglas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east-garfield-park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east-side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edgewater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edison-park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
englewood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forest-glen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuller-park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gage-park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
garfield-ridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grand-boulevard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greater-grand-crossing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hegewisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hermosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
humboldt-park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyde-park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
