location,vacant-housing,crowded-housing,active-transportation,permanent-supportive-housing,severe-housing-cost-burden
albany-park,1718,1478,9973,,5755
archer-heights,407,424,1237,,1232
armour-square,497,218,2228,,2058
ashburn,658,420,2783,,3859
auburn-gresham,3285,417,4838,,7604
austin,5258,1426,9888,,15460
avalon-park,641,93,640,,1555
avondale,1596,610,6313,,5595
belmont-cragin,2497,2153,6650,,10108
beverly,486,69,1958,,1529
bridgeport,1311,582,4865,,4797
brighton-park,1963,1671,3927,,5339
burnside,389,52,300,,423
calumet-heights,621,155,1316,,1809
chatham,2970,332,4042,,5887
chicago-lawn,3025,1196,4681,,7448
clearing,622,290,2140,,2402
douglas,1267,181,3609,,3673
dunning,1054,324,2614,,4807
east-garfield-park,1488,413,2204,,3222
east-side,935,469,1466,,2195
edgewater,3718,1238,15990,,10374
edison-park,415,67,1097,,840
englewood,5177,323,2598,,4714
forest-glen,498,98,1410,,1660
fuller-park,433,14,247,,488
gage-park,933,1333,3648,,4086
garfield-ridge,608,378,2202,,3048
grand-boulevard,2379,231,2788,,3811
greater-grand-crossing,3683,418,3997,,5333
hegewisch,378,58,745,,849
hermosa,752,445,2796,,3400
humboldt-park,3124,1865,5914,,7440
hyde-park,1909,174,7749,,4711
irving-park,2177,1113,9031,,6572
jefferson-park,827,366,2325,,3376
kenwood,1404,155,3175,,3457
lake-view,5009,635,39400,,13456
lincoln-park,3097,284,22621,,8000
lincoln-square,1348,317,9964,,5512
logan-square,3263,1024,17013,,9524
loop,3371,332,13309,,5423
lower-west-side,1871,1035,6799,,4420
mckinley-park,454,318,2102,,1926
montclare,,,,,1830
morgan-park,1074,166,1987,,2964
mount-greenwood,559,149,790,,1067
near-north-side,9769,741,31163,,15529
near-south-side,1876,266,5517,,4081
near-west-side,2885,1115,17346,,7906
new-city,3861,1291,4187,,4847
north-center,1676,98,8072,,3638
north-lawndale,3774,615,3255,,5615
north-park,538,223,1893,,2076
norwood-park,1469,129,2442,,4321
oakland,345,90,955,,934
ohare,652,384,1267,,3093
portage-park,2193,657,6686,,7365
pullman,556,62,823,,1096
riverdale,972,217,541,,866
rogers-park,3744,1654,14236,,9907
roseland,3450,367,4373,,5926
south-chicago,3818,411,3091,,4173
south-deering,718,197,1248,,1680
south-lawndale,3441,2607,6086,,8369
south-shore,6197,854,6771,,10246
uptown,3117,1139,16622,,8730
washington-heights,959,196,2774,,3407
washington-park,1372,232,1589,,2046
west-elsdon,303,398,1557,,1755
west-englewood,3346,435,3165,,4258
west-garfield-park,2271,412,1641,,2734
west-lawn,700,512,2245,,2876
west-pullman,2395,357,2377,,3835
west-ridge,3470,1888,8703,,9503
west-town,3077,943,24288,,10004
woodlawn,3164,397,3559,,4631
