location,vacant-housing,crowded-housing,active-transportation,permanent-supportive-housing,severe-housing-cost-burden
albany-park,9.4,9.0,39.8,,35.7
archer-heights,9.6,11.0,22.4,,33.1
armour-square,8.7,4.2,39.5,,43.1
ashburn,4.9,3.3,15.4,,30.4
auburn-gresham,16.1,2.4,34.3,,46.8
austin,14.1,4.5,31.1,,50.7
avalon-park,14.5,2.5,20.0,,44.3
avondale,10.5,4.5,34.1,,42.5
belmont-cragin,10.3,9.9,19.5,,47.4
beverly,6.1,0.9,20.6,,20.8
bridgeport,9.5,4.6,30.2,,39.9
brighton-park,14.0,13.9,22.9,,46.4
burnside,30.5,5.9,39.5,,49.5
calumet-heights,10.4,2.9,25.8,,34.6
chatham,18.0,2.5,36.9,,46.3
chicago-lawn,16.2,7.6,25.0,,50.3
clearing,6.8,3.4,18.3,,28.6
douglas,12.0,2.0,49.0,,42.0
dunning,6.4,2.1,12.3,,32.0
east-garfield-park,17.7,6.0,42.1,,52.1
east-side,12.1,6.9,16.1,,33.2
edgewater,11.5,4.3,54.8,,37.0
edison-park,8.4,1.5,19.2,,19.2
englewood,36.3,3.5,44.8,,55.9
forest-glen,7.0,1.5,16.9,,25.5
fuller-park,29.0,1.3,38.4,,47.4
gage-park,8.7,13.7,23.1,,42.7
garfield-ridge,4.8,3.1,14.2,,25.9
grand-boulevard,19.5,2.3,36.5,,40.3
greater-grand-crossing,23.5,3.5,40.8,,49.0
hegewisch,9.7,1.6,18.8,,25.2
hermosa,9.6,6.3,24.3,,48.7
humboldt-park,15.9,11.3,30.9,,48.5
hyde-park,13.3,1.4,65.6,,39.5
irving-park,9.7,5.5,32.6,,33.4
jefferson-park,7.5,3.6,18.3,,33.6
kenwood,13.6,1.7,45.3,,40.5
lake-view,8.7,1.2,60.8,,26.5
lincoln-park,8.7,0.9,55.9,,25.2
lincoln-square,6.9,1.7,43.5,,30.9
logan-square,10.1,3.5,42.6,,33.3
loop,15.7,1.8,68.5,,31.8
lower-west-side,13.5,8.7,43.4,,38.2
mckinley-park,8.1,6.2,31.1,,38.6
montclare,,,,,42.8
morgan-park,9.3,1.6,17.1,,29.3
mount-greenwood,8.0,2.3,9.4,,16.7
near-north-side,15.4,1.4,62.2,,30.5
near-south-side,13.1,2.1,41.2,,33.5
near-west-side,9.4,4.0,53.9,,30.2
new-city,24.8,11.0,29.9,,43.3
north-center,10.3,0.7,41.6,,25.4
north-lawndale,25.8,5.7,37.3,,55.9
north-park,7.6,3.4,24.0,,32.7
norwood-park,8.2,0.8,12.5,,27.3
oakland,11.0,3.2,41.4,,34.9
ohare,6.6,4.2,13.0,,34.7
portage-park,8.8,2.9,20.6,,33.6
pullman,16.1,2.1,31.3,,39.4
riverdale,29.8,9.5,42.3,,44.0
rogers-park,13.6,6.9,53.8,,43.0
roseland,19.4,2.6,33.9,,43.5
south-chicago,27.3,4.0,33.8,,43.5
south-deering,12.4,3.9,25.8,,35.7
south-lawndale,16.0,14.4,24.9,,47.7
south-shore,22.6,4.0,41.1,,51.2
uptown,9.6,3.9,56.9,,31.0
washington-heights,9.2,2.1,27.5,,37.2
washington-park,24.0,5.4,49.8,,50.7
west-elsdon,5.6,7.8,20.9,,36.0
west-englewood,25.6,4.5,39.2,,47.2
west-garfield-park,29.8,7.7,37.9,,55.1
west-lawn,7.2,5.6,16.7,,32.4
west-pullman,18.7,3.4,24.1,,38.9
west-ridge,12.4,7.7,27.9,,39.9
west-town,7.6,2.5,48.1,,27.6
woodlawn,23.3,3.8,46.5,,48.1
