location,violent-crime-in-public-spaces,neighborhood-safety,violent-crime,bullying,school-fights,school-safety,food-access,income-diversity,food-stamps-snap,median-household-income,per-capita-income,child-poverty,household-poverty,individual-poverty,early-childhood-education,high-school-graduation,college-graduation-or-more,no-high-school-graduation,school-attendance,suspensions,limited-english-proficiency,single-parent-households,grandparents-raising-grandchildren,seniors-living-alone,foreign-born,unemployment
albany-park,,,2737.6,,,,,,,,,,,,,,,,,,,,,,,
archer-heights,,,3322.6,,,,,,,,,,,,,,,,,,,,,,,
armour-square,,,3532.2,,,,,,,,,,,,,,,,,,,,,,,
ashburn,,,3405.5,,,,,,,,,,,,,,,,,,,,,,,
auburn-gresham,,,9636.3,,,,,,,,,,,,,,,,,,,,,,,
austin,,,9746.8,,,,,,,,,,,,,,,,,,,,,,,
avalon-park,,,7864.5,,,,,,,,,,,,,,,,,,,,,,,
avondale,,,3530.1,,,,,,,,,,,,,,,,,,,,,,,
belmont-cragin,,,3825.1,,,,,,,,,,,,,,,,,,,,,,,
beverly,,,2196.3,,,,,,,,,,,,,,,,,,,,,,,
bridgeport,,,3039.7,,,,,,,,,,,,,,,,,,,,,,,
brighton-park,,,3180.7,,,,,,,,,,,,,,,,,,,,,,,
burnside,,,7647.5,,,,,,,,,,,,,,,,,,,,,,,
calumet-heights,,,6139.6,,,,,,,,,,,,,,,,,,,,,,,
chatham,,,10339.0,,,,,,,,,,,,,,,,,,,,,,,
chicago-lawn,,,7812.6,,,,,,,,,,,,,,,,,,,,,,,
clearing,,,2562.8,,,,,,,,,,,,,,,,,,,,,,,
douglas,,,7276.0,,,,,,,,,,,,,,,,,,,,,,,
dunning,,,2246.5,,,,,,,,,,,,,,,,,,,,,,,
east-garfield-park,,,14450.3,,,,,,,,,,,,,,,,,,,,,,,
east-side,,,3333.0,,,,,,,,,,,,,,,,,,,,,,,
edgewater,,,2908.7,,,,,,,,,,,,,,,,,,,,,,,
edison-park,,,1564.3,,,,,,,,,,,,,,,,,,,,,,,
englewood,,,15257.4,,,,,,,,,,,,,,,,,,,,,,,
forest-glen,,,1248.1,,,,,,,,,,,,,,,,,,,,,,,
fuller-park,,,17037.6,,,,,,,,,,,,,,,,,,,,,,,
gage-park,,,3847.7,,,,,,,,,,,,,,,,,,,,,,,
garfield-ridge,,,3366.8,,,,,,,,,,,,,,,,,,,,,,,
grand-boulevard,,,9494.3,,,,,,,,,,,,,,,,,,,,,,,
greater-grand-crossing,,,13266.1,,,,,,,,,,,,,,,,,,,,,,,
hegewisch,,,3394.9,,,,,,,,,,,,,,,,,,,,,,,
hermosa,,,4222.3,,,,,,,,,,,,,,,,,,,,,,,
humboldt-park,,,8337.6,,,,,,,,,,,,,,,,,,,,,,,
hyde-park,,,3216.4,,,,,,,,,,,,,,,,,,,,,,,
irving-park,,,3167.2,,,,,,,,,,,,,,,,,,,,,,,
jefferson-park,,,2440.3,,,,,,,,,,,,,,,,,,,,,,,
kenwood,,,5605.1,,,,,,,,,,,,,,,,,,,,,,,
lake-view,,,2415.0,,,,,,,,,,,,,,,,,,,,,,,
lincoln-park,,,1980.8,,,,,,,,,,,,,,,,,,,,,,,
lincoln-square,,,2592.9,,,,,,,,,,,,,,,,,,,,,,,
logan-square,,,3922.2,,,,,,,,,,,,,,,,,,,,,,,
loop,,,6621.6,,,,,,,,,,,,,,,,,,,,,,,
lower-west-side,,,4009.1,,,,,,,,,,,,,,,,,,,,,,,
mckinley-park,,,3311.6,,,,,,,,,,,,,,,,,,,,,,,
montclare,,,2778.2,,,,,,,,,,,,,,,,,,,,,,,
morgan-park,,,5921.8,,,,,,,,,,,,,,,,,,,,,,,
mount-greenwood,,,1906.5,,,,,,,,,,,,,,,,,,,,,,,
near-north-side,,,4210.8,,,,,,,,,,,,,,,,,,,,,,,
near-south-side,,,4375.9,,,,,,,,,,,,,,,,,,,,,,,
near-west-side,,,6178.8,,,,,,,,,,,,,,,,,,,,,,,
new-city,,,7400.2,,,,,,,,,,,,,,,,,,,,,,,
north-center,,,1738.5,,,,,,,,,,,,,,,,,,,,,,,
north-lawndale,,,13123.7,,,,,,,,,,,,,,,,,,,,,,,
north-park,,,2202.9,,,,,,,,,,,,,,,,,,,,,,,
norwood-park,,,1985.3,,,,,,,,,,,,,,,,,,,,,,,
oakland,,,7063.2,,,,,,,,,,,,,,,,,,,,,,,
ohare,,,9195.7,,,,,,,,,,,,,,,,,,,,,,,
portage-park,,,3134.6,,,,,,,,,,,,,,,,,,,,,,,
pullman,,,9610.9,,,,,,,,,,,,,,,,,,,,,,,
riverdale,,,12172.2,,,,,,,,,,,,,,,,,,,,,,,
rogers-park,,,4866.3,,,,,,,,,,,,,,,,,,,,,,,
roseland,,,10547.1,,,,,,,,,,,,,,,,,,,,,,,
south-chicago,,,10334.0,,,,,,,,,,,,,,,,,,,,,,,
south-deering,,,7459.1,,,,,,,,,,,,,,,,,,,,,,,
south-lawndale,,,3784.9,,,,,,,,,,,,,,,,,,,,,,,
south-shore,,,10532.6,,,,,,,,,,,,,,,,,,,,,,,
uptown,,,4455.1,,,,,,,,,,,,,,,,,,,,,,,
washington-heights,,,7209.5,,,,,,,,,,,,,,,,,,,,,,,
washington-park,,,15029.4,,,,,,,,,,,,,,,,,,,,,,,
west-elsdon,,,2755.5,,,,,,,,,,,,,,,,,,,,,,,
west-englewood,,,13600.9,,,,,,,,,,,,,,,,,,,,,,,
west-garfield-park,,,13899.2,,,,,,,,,,,,,,,,,,,,,,,
